row_label_raw,row_label_full,2015,Doanh thu thuần VND,Lợi nhuận gộp VND,Thu nhập hoạt động tài chính và thu nhập khác VND,Chi phí tài chính và chi phí khác VND,Lợi nhuận/(lỗ) trước thuế VND,numeric__Doanh thu thuần VND,numeric__Lợi nhuận gộp VND,numeric__Thu nhập hoạt động tài chính và thu nhập khác VND,numeric__Chi phí tài chính và chi phí khác VND,numeric__Lợi nhuận/(lỗ) trước thuế VND
Nhà máy Bia Dung Quất,Nhà máy Bia Dung Quất,Nhà máy Bia Dung Quất,606.867.684.086,131.532.800.327,920.138.233,19.281.826.632,79.151.485.428,606867684086.0,131532800327.0,920138233.0,19281826632.0,79151485428.0
Xí nghiệp cơ giới Nông nghiệp,Xí nghiệp cơ giới Nông nghiệp,Xí nghiệp cơ giới Nông nghiệp,40.870.092.542,8.527.803.041,-,-,8.369.403.041,40870092542.0,8527803041.0,,,8369403041.0
Nhà máy Sữa đậu nành Việt Nam – VINASOY,Nhà máy Sữa đậu nành Việt Nam – VINASOY,Nhà máy Sữa đậu nành Việt Nam – VINASOY,3.783.472.087.064,1.514.243.820.558,62.856.035.930,41.868.967.768,850.692.482.325,3783472087064.0,1514243820558.0,62856035930.0,41868967768.0,850692482325.0
Nhà máy Đường Phổ Phong,Nhà máy Đường Phổ Phong,Nhà máy Đường Phổ Phong,281.350.402.504,32.388.163.620,138.920.688,2.716.515.316,19.721.882.354,281350402504.0,32388163620.0,138920688.0,2716515316.0,19721882354.0
Trung tâm môi trường và nước sạch,Trung tâm môi trường và nước sạch,Trung tâm môi trường và nước sạch,11.963.571.573,3.446.797.594,-,-,1.943.834.959,11963571573.0,3446797594.0,,,1943834959.0
Nhà máy đường An Khê,Nhà máy đường An Khê,Nhà máy đường An Khê,2.105.798.090.674,297.601.323.187,1.078.126.424,62.381.370.616,201.081.227.748,2105798090674.0,297601323187.0,1078126424.0,62381370616.0,201081227748.0
Nhà máy Bánh kéo BISCAFUN,Nhà máy Bánh kéo BISCAFUN,Nhà máy Bánh kéo BISCAFUN,370.625.592.475,91.272.589.048,331.611.753,7.638.754.164,5.712.639.262,370625592475.0,91272589048.0,331611753.0,7638754164.0,5712639262.0
Nhà máy nước khoáng Thạch Bích,Nhà máy nước khoáng Thạch Bích,Nhà máy nước khoáng Thạch Bích,409.279.293.816,108.894.888.256,285.973.238,2.542.547.567,44.656.108.867,409279293816.0,108894888256.0,285973238.0,2542547567.0,44656108867.0
Trung tâm giống mía Quảng Ngãi,Trung tâm giống mía Quảng Ngãi,Trung tâm giống mía Quảng Ngãi,1.714.186.389,(42.288.337),3.744.000,162.243.757,(200.788.094),1714186389.0,-42288337.0,3744000.0,162243757.0,-200788094.0
Nhà máy Nha Quảng Ngãi,Nhà máy Nha Quảng Ngãi,Nhà máy Nha Quảng Ngãi,50.127.167.603,5.478.144.895,-,391.976.530,1.432.272.766,50127167603.0,5478144895.0,,391976530.0,1432272766.0
Nhà máy Cơ khí,Nhà máy Cơ khí,Nhà máy Cơ khí,41.575.107.007,2.045.369.777,-,(54.863.740),948.709.762,41575107007.0,2045369777.0,,-54863740.0,948709762.0
Văn phòng Công ty (lò hơi và hoạt động quản lý),Văn phòng Công ty (lò hơi và hoạt động quản lý),Văn phòng Công ty (lò hơi và hoạt động quản lý),47.249.628.906,13.232.375.868,212.188.439.905,44.862.067.151,181.523.731.123,47249628906.0,13232375868.0,212188439905.0,44862067151.0,181523731123.0
Công ty TNHH MTV TM Thành Phát,Công ty TNHH MTV TM Thành Phát,Công ty TNHH MTV TM Thành Phát,1.075.619.892.918,100.484.961.604,64.706.724.408,1.704.000,97.187.545.438,1075619892918.0,100484961604.0,64706724408.0,1704000.0,97187545438.0
,,,8.826.512.797.557,2.309.106.749.438,342.509.714.579,181.793.109.761,1.492.220.534.979,8826512797557.0,2309106749438.0,342509714579.0,181793109761.0,1492220534979.0
Các khoản loại trừ,Các khoản loại trừ,Các khoản loại trừ,(1.041.278.167.034),(10.969.787.823),(247.959.737.844),(115.955.258.323),(130.371.003.400),-1041278167034.0,-10969787823.0,-247959737844.0,-115955258323.0,-130371003400.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,-,-,-,-,131.784.422.632,,,,,131784422632.0
Tổng cộng,Tổng cộng,Tổng cộng,7.785.234.630.523,2.298.136.961.615,94.549.976.735,65.837.851.438,1.230.065.108.947,7785234630523.0,2298136961615.0,94549976735.0,65837851438.0,1230065108947.0
