row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm,Năm tài chính kết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm_1
,,,2017VNĐ,2016VNĐ,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,749.997.559.766,607.771.987.397,749997559766.0,607771987397.0
Thuế tính ở thuế suất 20% Điều chỉnh:,Thuế tính ở thuế suất 20% Điều chỉnh:,Thuế tính ở thuế suất 20% Điều chỉnh:,149.999.511.953,121.554.397.479,149999511953.0,121554397479.0
Thu nhập không chịu thuế,Thu nhập không chịu thuế,Thu nhập không chịu thuế,(1.500.858.091),-,-1500858091.0,
Chi phí không được khấu trừ,Chi phí không được khấu trừ,Chi phí không được khấu trừ,266.686.757,903.802.080,266686757.0,903802080.0
U'u đãi thuế,U'u đãi thuế,U'u đãi thuế,(74.508.643.222),(32.462.483.814),-74508643222.0,-32462483814.0
Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),74.256.697.397,89.995.715.745,74256697397.0,89995715745.0
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,,,,
Thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,74.256.697.397,89.995.715.745,74256697397.0,89995715745.0
Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,-,-,,
