row_label_raw,row_label_full,col_0,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
,,,2017VND,2016VND,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,
Doanh thu bán hàng,Doanh thu > Doanh thu bán hàng,Doanh thu bán hàng,12.804.092.894.531,8.873.935.626.257,12804092894531.0,8873935626257.0
Doanh thu cung cấp dịch vụ,Doanh thu > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,24.975.865.110,67.948.722.590,24975865110.0,67948722590.0
,,,12.829.068.759.641,8.941.884.348.847,12829068759641.0,8941884348847.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,5.288.776.537,67.101.819,5288776537.0,67101819.0
Giảm giá hàng bán,Các khoản giảm trừ > Giảm giá hàng bán,Giảm giá hàng bán,1.916.369.752,1.267.590.556,1916369752.0,1267590556.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,9.960.604.521,4.033.812.044,9960604521.0,4033812044.0
,,,17.165.750.810,5.368.504.419,17165750810.0,5368504419.0
Doanh thu thuần bán hàng và cung cấpdịch vụ,Các khoản giảm trừ > Doanh thu thuần bán hàng và cung cấpdịch vụ,Doanh thu thuần bán hàng và cung cấpdịch vụ,12.811.903.008.831,8.936.515.844.428,12811903008831.0,8936515844428.0
