row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm,Năm tài chính kết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm_1
,,,2017VNĐ,2016VNĐ,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu tiền bồi thường,Thu nhập khác > Thu tiền bồi thường,Thu tiền bồi thường,17.396.547.888,3.406.222.256,17396547888.0,3406222256.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,3.998.591.564,73.716.926,3998591564.0,73716926.0
,,,21.395.139.452,3.479.939.182,21395139452.0,3479939182.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
"Lỗ thanh lý, nhượng bán TSCĐ","Chi phí khác > Lỗ thanh lý, nhượng bán TSCĐ","Lỗ thanh lý, nhượng bán TSCĐ",177.662.393,455.094.441,177662393.0,455094441.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,1.660.849.067,2.676.391.644,1660849067.0,2676391644.0
,,,1.838.511.460,3.131.486.085,1838511460.0,3131486085.0
Lợi nhuận khác,Chi phí khác > Lợi nhuận khác,Lợi nhuận khác,19.556.627.992,348.453.097,19556627992.0,348453097.0
