row_label_raw,row_label_full,col_0,Tại ngày1.1.2017VND,Vay trong nămVND,Đã trả trong nămVND,Nợ dài hạnđến hạn trảVND,Tại ngày31.12.2017VND,numeric__Tại ngày1.1.2017VND,numeric__Vay trong nămVND,numeric__Đã trả trong nămVND,numeric__Nợ dài hạnđến hạn trảVND,numeric__Tại ngày31.12.2017VND
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,1.488.404.650.348,459.374.199.863,(290.415.352.901),(401.751.710.877),1.255.611.786.433,1488404650348.0,459374199863.0,-290415352901.0,-401751710877.0,1255611786433.0
Phát hành trái phiếu,Phát hành trái phiếu,Phát hành trái phiếu,370.000.000.000,-,(110.000.000.000),-,260.000.000.000,370000000000.0,,-110000000000.0,,260000000000.0
Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,1.638.131.754,65.668.445.885,(1.724.961.184),(19.384.366.759),46.197.249.696,1638131754.0,65668445885.0,-1724961184.0,-19384366759.0,46197249696.0
,,,1.860.042.782.102,525.042.645.748,(402.140.314.085),(421.136.077.636),1.561.809.036.129,1860042782102.0,525042645748.0,-402140314085.0,-421136077636.0,1561809036129.0
Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2017 như sau:,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,,Giá trị,Tiền tệ,Ngày đáo hạn,Hình thức đảm bảo,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,,1.253.861.786.433,VND,2/2019-11/2022,"Nhà cửa vật kiến trúc; Máy móc thiết bị; Thiết bị và phương tiện vận tải, truyền dẫn; Dụng cụ quản lý",,1253861786433.0,,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,,1.750.000.000,VND,6/2021,Phương tiện vận tải,,1750000000.0,,,
,,,,1.255.611.786.433,,,,,1255611786433.0,,,
