row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, thiết bịVND",Phươngtiện vận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, thiết bịVND",numeric__Phươngtiện vận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,368.608.533.418,1.867.289.085.780,169.208.337.882,6.238.814.028,985.089.600,2.412.329.860.708,368608533418.0,1867289085780.0,169208337882.0,6238814028.0,985089600.0,2412329860708.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,42.528.891.228,12.274.797.273,55.300.000,-,54.858.988.501,,42528891228.0,12274797273.0,55300000.0,,54858988501.0
Xây dựng cơ bản mới hoàn thành(Thuyết minh 11),Nguyên giá > Xây dựng cơ bản mới hoàn thành(Thuyết minh 11),Xây dựng cơ bản mới hoàn thành(Thuyết minh 11),269.076.372.131,1.537.622.246.538,47.426.059.648,668.492.308,-,1.854.793.170.625,269076372131.0,1537622246538.0,47426059648.0,668492308.0,,1854793170625.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.209.066.390),-,-,(1.209.066.390),,,-1209066390.0,,,-1209066390.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,637.684.905.549,3.447.440.223.546,227.700.128.413,6.962.606.336,985.089.600,4.320.772.953.444,637684905549.0,3447440223546.0,227700128413.0,6962606336.0,985089600.0,4320772953444.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,85.979.945.353,469.985.364.234,28.485.444.689,3.368.217.472,461.282.583,588.280.254.331,85979945353.0,469985364234.0,28485444689.0,3368217472.0,461282583.0,588280254331.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,37.550.590.086,254.546.916.191,13.448.749.957,695.229.770,50.204.640,306.291.690.644,37550590086.0,254546916191.0,13448749957.0,695229770.0,50204640.0,306291690644.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(665.949.451),-,-,(665.949.451),,,-665949451.0,,,-665949451.0
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,123.530.535.439,724.532.280.425,41.268.245.195,4.063.447.242,511.487.223,893.905.995.524,123530535439.0,724532280425.0,41268245195.0,4063447242.0,511487223.0,893905995524.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,282.628.588.065,1.397.303.721.546,140.722.893.193,2.870.596.556,523.807.017,1.824.049.606.377,282628588065.0,1397303721546.0,140722893193.0,2870596556.0,523807017.0,1824049606377.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,514.154.370.110,2.722.907.943.121,186.431.883.218,2.899.159.094,473.602.377,3.426.866.957.920,514154370110.0,2722907943121.0,186431883218.0,2899159094.0,473602377.0,3426866957920.0
