row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2017VNĐ,Tại ngày 31 tháng 12 năm > 2016VNĐ,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2017VNĐ,numeric__Tại ngày 31 tháng 12 năm > 2016VNĐ
300,300,300,NỘ PHẢI TRẢ,,7.077.214.274.826,4.760.581.739.233,,,7077214274826.0,4760581739233.0
310,310,310,Nợ ngắn hạn,,5.514.106.148.697,2.899.239.867.131,,,5514106148697.0,2899239867131.0
311,311,311,Phải trả người bán ngắn hạn,12,773.127.647.829,429.271.407.815,,12.0,773127647829.0,429271407815.0
312,312,312,Người mua trả tiền trước ngắn hạn,,149.888.533.275,76.188.232.135,,,149888533275.0,76188232135.0
313,313,313,Thuế và các khoản phải nộp ngân sách Nhà nước,13,44.577.001.180,108.712.643.308,,13.0,44577001180.0,108712643308.0
314,314,314,Phải trả người lao động,,28.104.958.055,18.267.868.106,,,28104958055.0,18267868106.0
315,315,315,Chỉ phí phải trả ngắn hạn,14,2.190.063.680,4.808.904.719,,14.0,2190063680.0,4808904719.0
319,319,319,Phải trả ngắn hạn khác,,15.062.724.213,132.739.235,,,15062724213.0,132739235.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,15(a),4.473.250.929.855,2.258.056.694.786,,,4473250929855.0,2258056694786.0
322,322,322,"Quý khen thưởng, phúc lợi",16,27.904.290.610,3.801.377.027,,16.0,27904290610.0,3801377027.0
330,330,330,Nợ dài hạn,,1.563.108.126.129,1.861.341.872.102,,,1563108126129.0,1861341872102.0
337,337,337,Phải trả dài hạn khác,,1.299.090.000,1.299.090.000,,,1299090000.0,1299090000.0
338,338,338,Vay và nợ thuê tài chính dài hạn,15(b),1.561.809.036.129,1.860.042.782.102,,,1561809036129.0,1860042782102.0
400,400,400,VỐN CHỦ SỞ HỮU,,2.908.690.574.062,1.577.453.075.276,,,2908690574062.0,1577453075276.0
410,410,410,Vốn chủ sở hữu,,2.908.690.574.062,1.577.453.075.276,,,2908690574062.0,1577453075276.0
411,411,411,Vốn góp của chủ sở hữu,"17, 18",1.300.000.000.000,660.343.610.000,,,1300000000000.0,660343610000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,1.300.000.000.000,660.343.610.000,,,1300000000000.0,660343610000.0
412,412,412,Thặng dư vốn cổ phần,18,766.255.590.000,264.355.590.000,,18.0,766255590000.0,264355590000.0
418,418,418,Quý đầu tư phát triển,18,23.207.319.954,12.851.794.521,,18.0,23207319954.0,12851794521.0
420,420,420,Quý khác thuộc vốn chủ sở hữu,18,20.437.676.048,4.904.387.898,,18.0,20437676048.0,4904387898.0
421,421,421,Lợi nhuận sau thuế chưa phân phối,18,798.789.988.060,634.997.692.857,,18.0,798789988060.0,634997692857.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,253.049.125.691,117.221.421.205,,,253049125691.0,117221421205.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,545.740.862.369,517.776.271.652,,,545740862369.0,517776271652.0
440,440,440,TỔNG NGUỒN VỐN,,9.985.904.848.888,6.338.034.814.509,,,9985904848888.0,6338034814509.0
