row_label_raw,row_label_full,col_0,col_1,2017 > Giá trị VNĐ,2017 > Số có khả năng trả nợ VNĐ,2017 > Số có khả năng trả nợ VNĐ_1,2016 > Giá trị VNĐ,2016 > Số có khả năng trả nợ VNĐ,numeric__col_1,numeric__2017 > Giá trị VNĐ,numeric__2017 > Số có khả năng trả nợ VNĐ,numeric__2017 > Số có khả năng trả nợ VNĐ_1,numeric__2016 > Giá trị VNĐ,numeric__2016 > Số có khả năng trả nợ VNĐ
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,4.457.331.075.435,4.457.331.075.435,4.457.331.075.435,2.258.056.694.786,2.258.056.694.786,,4457331075435.0,4457331075435.0,4457331075435.0,2258056694786.0,2258056694786.0
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,1.255.611.786.433,1.255.611.786.433,1.255.611.786.433,1.488.404.650.348,1.488.404.650.348,,1255611786433.0,1255611786433.0,1255611786433.0,1488404650348.0,1488404650348.0
Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,260.000.000.000,260.000.000.000,260.000.000.000,370.000.000.000,370.000.000.000,,260000000000.0,260000000000.0,260000000000.0,370000000000.0,370000000000.0
Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,62.117.104.116,62.117.104.116,62.117.104.116,1.638.131.754,1.638.131.754,,62117104116.0,62117104116.0,62117104116.0,1638131754.0,1638131754.0
(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,,,,,,
Biến động các khoản vay ngắn hạn trong năm như sau:,Biến động các khoản vay ngắn hạn trong năm như sau:,Biến động các khoản vay ngắn hạn trong năm như sau:,Biến động các khoản vay ngắn hạn trong năm như sau:,Biến động các khoản vay ngắn hạn trong năm như sau:,Biến động các khoản vay ngắn hạn trong năm như sau:,Biến động các khoản vay ngắn hạn trong năm như sau:,Biến động các khoản vay ngắn hạn trong năm như sau:,Biến động các khoản vay ngắn hạn trong năm như sau:,,,,,,
,,,Tại ngày 1.1.2017 VNĐ,Vay trong năm VNĐ,Đã trả trong năm VNĐ,Nợ dài hạn đến hạn trả VNĐ,Nợ dài hạn đến hạn trả VNĐ,Tại ngày 31.12.2017 VNĐ,,,,,,
Vay ngân hàng,Biến động các khoản vay ngắn hạn trong năm như sau: > Vay ngân hàng,Vay ngân hàng,2.258.056.694.786,10.164.040.833.456,(8.366.518.163.684),401.751.710.877,401.751.710.877,4.457.331.075.435,2258056694786.0,10164040833456.0,-8366518163684.0,401751710877.0,401751710877.0,4457331075435.0
Các khoản nợ thuê tài chính,Biến động các khoản vay ngắn hạn trong năm như sau: > Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,-,-,(3.464.512.339),19.384.366.759,19.384.366.759,15.919.854.420,,,-3464512339.0,19384366759.0,19384366759.0,15919854420.0
,,,2.258.056.694.786,10.164.040.833.456,(8.369.982.676.023),421.136.077.636,421.136.077.636,4.473.250.929.855,2258056694786.0,10164040833456.0,-8369982676023.0,421136077636.0,421136077636.0,4473250929855.0
