row_label_raw,row_label_full,Tiền thu từ góp vốn của cổ đông không kiểm soát vào một công ty con,31,489.787.009.008,338.100.000.000,numeric__31,numeric__489.787.009.008,numeric__338.100.000.000
Tiền hoàn trả vốn góp cho cổ đông không kiểm soát của công ty con đã giải thể,Tiền hoàn trả vốn góp cho cổ đông không kiểm soát của công ty con đã giải thể,Tiền hoàn trả vốn góp cho cổ đông không kiểm soát của công ty con đã giải thể,32,(142.548.827.636),-,32.0,-142548827636.0,
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,11.788.416.965.803,6.257.530.054.586,33.0,11788416965803.0,6257530054586.0
Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,34,(8.276.832.556.495),(10.789.019.801.789),34.0,-8276832556495.0,-10789019801789.0
Tiền chi trả cổ tức,Tiền chi trả cổ tức,Tiền chi trả cổ tức,36,(8.046.328.463.250),(8.046.328.463.250),36.0,-8046328463250.0,-8046328463250.0
Tiền chi trả cổ tức của các công ty con chia cho cổ đông không kiểm soát,Tiền chi trả cổ tức của các công ty con chia cho cổ đông không kiểm soát,Tiền chi trả cổ tức của các công ty con chia cho cổ đông không kiểm soát,36,(105.267.788.700),(120.571.155.470),36.0,-105267788700.0,-120571155470.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(4.292.773.661.270),(12.360.289.365.923),40.0,-4292773661270.0,-12360289365923.0
