row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thăng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch quy đổi tiền tệ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch quy đổi tiền tệ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,20.899.554.450.000,34.110.709.700,202.658.418.215,253.569.601,4.352.441.335.060,7.594.260.378.375,2.766.835.388.433,35.850.114.249.384,20899554450000.0,34110709700.0,202658418215.0,253569601.0,4352441335060.0,7594260378375.0,2766835388433.0,35850114249384.0
Công ty con nhận vốn góp,Công ty con nhận vốn góp,Công ty con nhận vốn góp,-,-,-,-,-,-,338.100.000.000,338.100.000.000,,,,,,,338100000000.0,338100000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,8.516.023.694.342,61.551.625.366,8.577.575.319.708,,,,,,8516023694342.0,61551625366.0,8577575319708.0
Trích quỹ thuộc vốn chu sơ hữu,Trích quỹ thuộc vốn chu sơ hữu,Trích quỹ thuộc vốn chu sơ hữu,-,-,-,-,914.320.249.913,(914.320.249.913),-,-,,,,,914320249913.0,-914320249913.0,,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),-,-,-,-,-,(924.627.242.747),(23.946.634.836),(948.573.877.583),,,,,,-924627242747.0,-23946634836.0,-948573877583.0
Sập nhập hai công ty con,Sập nhập hai công ty con,Sập nhập hai công ty con,-,-,-,-,-,54.397.598.859,(54.397.555.359),43.500,,,,,,54397598859.0,-54397555359.0,43500.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(10.972.266.086.250),-,(10.972.266.086.250),,,,,,-10972266086250.0,,-10972266086250.0
Cổ tức của công ty con chia cho cổ đông không kiểm soát,Cổ tức của công ty con chia cho cổ đông không kiểm soát,Cổ tức của công ty con chia cho cổ đông không kiểm soát,-,-,-,-,-,-,(120.675.772.300),(120.675.772.300),,,,,,,-120675772300.0,-120675772300.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,92.244.478.626,-,-,-,92.244.478.626,,,,92244478626.0,,,,92244478626.0
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,20.899.554.450.000,34.110.709.700,202.658.418.215,92.498.048.227,5.266.761.584.973,3.353.468.092.666,2.967.467.051.304,32.816.518.355.085,20899554450000.0,34110709700.0,202658418215.0,92498048227.0,5266761584973.0,3353468092666.0,2967467051304.0,32816518355085.0
