row_label_raw,row_label_full,col_0,31/12/2023 > % vốnsở hữu vàquyềnbiểu quyết,31/12/2023 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/giá gốcVND,31/12/2023 > Giá trị hợp lýVND,31/12/2023 > Dự phòng giảm giáVND,1/1/2023 > % vốnsở hữu vàquyền biểu quyết,1/1/2023 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/giá gốcVND,1/1/2023 > Giá trị hợp lýVND,1/1/2023 > Dự phòng giảm giáVND,numeric__31/12/2023 > % vốnsở hữu vàquyềnbiểu quyết,numeric__31/12/2023 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/giá gốcVND,numeric__31/12/2023 > Giá trị hợp lýVND,numeric__31/12/2023 > Dự phòng giảm giáVND,numeric__1/1/2023 > % vốnsở hữu vàquyền biểu quyết,numeric__1/1/2023 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/giá gốcVND,numeric__1/1/2023 > Giá trị hợp lýVND,numeric__1/1/2023 > Dự phòng giảm giáVND
"Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết",,,,,,,,
▪ Miráka Holdings Limited,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Miráka Holdings Limited",▪ Miráka Holdings Limited,"13,55%",219.850.964.979,(*),-,"16,96%",287.362.154.997,(*),-,0.1355,219850964979.0,,,0.1696,287362154997.0,,
▪ Công ty Cổ phần APIS,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Công ty Cổ phần APIS",▪ Công ty Cổ phần APIS,"20,00%",46.117.513.009,(*),-,"20,00%",39.499.496.146,(*),-,0.2,46117513009.0,,,0.2,39499496146.0,,
▪ Công ty Cổ phần Chế biến Dừa Á Châu,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Công ty Cổ phần Chế biến Dừa Á Châu",▪ Công ty Cổ phần Chế biến Dừa Á Châu,24.96%,163.183.742.194,(*),-,"24,96%",150.355.490.875,(*),-,24.96,163183742194.0,,,0.24960000000000002,150355490875.0,,
"▪ Del Monte - Vinamilk Dairy Philippines, Inc.","Đầu tư vào các công ty liên doanh, liên kết > ▪ Del Monte - Vinamilk Dairy Philippines, Inc.","▪ Del Monte - Vinamilk Dairy Philippines, Inc.","50,00%",317.355.090,(*),-,"50,00%",593.854.138,(*),-,0.5,317355090.0,,,0.5,593854138.0,,
▪ Các công ty liên kết sở hữu gián tiếp thông qua Tổng Công ty Chăn nuôi Việt Nam – Công ty Cổ phần,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Các công ty liên kết sở hữu gián tiếp thông qua Tổng Công ty Chăn nuôi Việt Nam – Công ty Cổ phần",▪ Các công ty liên kết sở hữu gián tiếp thông qua Tổng Công ty Chăn nuôi Việt Nam – Công ty Cổ phần,,173.121.453.660,(*),-,,186.491.781.862,(*),-,,173121453660.0,,,,186491781862.0,,
,,,,602.591.028.932,,-,,664.302.778.018,,-,,602591028932.0,,,,664302778018.0,,
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,,,,,,,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,Đầu tư góp vốn vào các đơn vị khác > ▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,14.71%,69.261.607.154,(*),-,"14,71%",69.261.607.154,(*),-,14.71,69261607154.0,,,0.1471,69261607154.0,,
▪ Nhà thuốc – Phòng khám đa khoa An Khang,Đầu tư góp vốn vào các đơn vị khác > ▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,,300.000.000,(*),-,,300.000.000,(*),-,,300000000.0,,,,300000000.0,,
▪ Các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác > ▪ Các đơn vị khác,▪ Các đơn vị khác,,32.413.451.927,(*),(23.582.690.668),,32.388.611.927,(*),(23.582.690.668),,32413451927.0,,-23582690668.0,,32388611927.0,,-23582690668.0
,,,,101.975.059.081,,(23.582.690.668),,101.950.219.081,,(23.582.690.668),,101975059081.0,,-23582690668.0,,101950219081.0,,-23582690668.0
,,,,704.566.088.013,,(23.582.690.668),,766.252.997.099,,(23.582.690.668),,704566088013.0,,-23582690668.0,,766252997099.0,,-23582690668.0
