row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia sức VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia sức VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.881.016.519.630,19.147.322.394.005,1.352.376.250.283,726.486.499.666,1.384.952.238.165,10.003.369.118,28.502.157.270.867,5881016519630.0,19147322394005.0,1352376250283.0,726486499666.0,1384952238165.0,10003369118.0,28502157270867.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,18.596.108.995,147.829.404.772,14.993.421.110,27.773.093.813,409.550.000,-,209.601.578.690,18596108995.0,147829404772.0,14993421110.0,27773093813.0,409550000.0,,209601578690.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,974.878.011.908,1.357.435.907.645,16.430.863.910,16.572.434.035,-,6.588.055.679,2.371.905.273.177,974878011908.0,1357435907645.0,16430863910.0,16572434035.0,,6588055679.0,2371905273177.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,-,-,416.186.659.149,-,416.186.659.149,,,,,416186659149.0,,416186659149.0
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,(10.684.285.402),(51.697.319.778),(10.759.517.242),(3.709.052.418),(294.991.923.230),-,(371.842.098.070),-10684285402.0,-51697319778.0,-10759517242.0,-3709052418.0,-294991923230.0,,-371842098070.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,3.879.675.585,11.827.294.003,695.000.000,(213.954.386),-,(16.188.015.202),-,3879675585.0,11827294003.0,695000000.0,-213954386.0,,-16188015202.0,
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,(105.315.998),(79.329.636.722),-,(79.434.952.720),,,,-105315998.0,-79329636722.0,,-79434952720.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,17.567.148.642,36.451.491.787,2.803.123.756,807.480.203,2.959.670.852,11.723.360,60.600.638.600,17567148642.0,36451491787.0,2803123756.0,807480203.0,2959670852.0,11723360.0,60600638600.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.885.253.179.358,20.649.169.172.434,1.376.539.141.817,767.611.184.915,1.430.186.558.214,415.132.955,31.109.174.369.693,6885253179358.0,20649169172434.0,1376539141817.0,767611184915.0,1430186558214.0,415132955.0,31109174369693.0
