row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Thương hiệu VND,Vùng nguyên liệu VND,Phần mềm máy vi tính VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Thương hiệu VND,numeric__Vùng nguyên liệu VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,718.445.333.194,276.413.594.392,164.964.058.635,142.106.529.396,51.494.099.288,1.353.423.614.905,718445333194.0,276413594392.0,164964058635.0,142106529396.0,51494099288.0,1353423614905.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,543.775.644,524.680.003,1.068.455.647,,,,543775644.0,524680003.0,1068455647.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,-,4.167.497.814,-,4.167.497.814,,,,4167497814.0,,4167497814.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,(307.150.000),-,(307.150.000),,,,-307150000.0,,-307150000.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,6.358.151.991,-,-,198.033.123,1.497.299.979,8.053.485.093,6358151991.0,,,198033123.0,1497299979.0,8053485093.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,724.803.485.185,276.413.594.392,164.964.058.635,146.708.685.977,53.516.079.270,1.366.405.903.459,724803485185.0,276413594392.0,164964058635.0,146708685977.0,53516079270.0,1366405903459.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,67.527.156.566,48.778.869.598,32.992.811.727,126.400.541.507,34.883.099.989,310.582.479.387,67527156566.0,48778869598.0,32992811727.0,126400541507.0,34883099989.0,310582479387.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.641.051.184,16.259.623.199,10.997.603.909,9.748.147.088,32.677.443,53.679.102.823,16641051184.0,16259623199.0,10997603909.0,9748147088.0,32677443.0,53679102823.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,-,-,(132.622.221),-,(132.622.221),,,,-132622221.0,,-132622221.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,130.571.010,1.014.299.994,1.144.871.004,,,,130571010.0,1014299994.0,1144871004.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,84.168.207.750,65.038.492.797,43.990.415.636,136.146.637.384,35.930.077.426,365.273.830.993,84168207750.0,65038492797.0,43990415636.0,136146637384.0,35930077426.0,365273830993.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,650.918.176.628,227.634.724.794,131.971.246.908,15.705.987.889,16.610.999.299,1.042.841.135.518,650918176628.0,227634724794.0,131971246908.0,15705987889.0,16610999299.0,1042841135518.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,640.635.277.435,211.375.101.595,120.973.642.999,10.562.048.593,17.586.001.844,1.001.132.072.466,640635277435.0,211375101595.0,120973642999.0,10562048593.0,17586001844.0,1001132072466.0
