row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2025VND,30.9.2024VND,,
Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,,
Doanh thu bán thành phẩm,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,18.949.510.461.433,19.378.177.588.581,18949510461433.0,19378177588581.0
Doanh thu bán hàng hóa,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,18.356.555.484.486,20.489.142.408.971,18356555484486.0,20489142408971.0
Doanh thu cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,10.168.807.313,10.471.999.619,10168807313.0,10471999619.0
Doanh thu khác,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu khác,Doanh thu khác,4.456.130.785,5.012.920.228,4456130785.0,5012920228.0
,,,37.320.690.884.017,39.882.804.917.399,37320690884017.0,39882804917399.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,(734.417.797.246),(575.807.818.429),-734417797246.0,-575807818429.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(27.505.089.410),(23.548.187.437),-27505089410.0,-23548187437.0
Giảm giá hàng bán,Các khoản giảm trừ > Giảm giá hàng bán,Giảm giá hàng bán,(20.952.919.194),(11.555.173.085),-20952919194.0,-11555173085.0
,,,(782.875.805.850),(610.911.178.951),-782875805850.0,-610911178951.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,
Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán thành phẩm,18.364.467.442.622,18.869.003.488.841,18364467442622.0,18869003488841.0
Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng hóa,18.158.722.697.447,20.387.405.329.760,18158722697447.0,20387405329760.0
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,10.168.807.313,10.471.999.619,10168807313.0,10471999619.0
Doanh thu thuần khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần khác,Doanh thu thuần khác,4.456.130.785,5.012.920.228,4456130785.0,5012920228.0
,,,36.537.815.078.167,39.271.893.738.448,36537815078167.0,39271893738448.0
