row_label_raw,row_label_full,col_0,Tại ngày1.10.2024 > Giá trịVND,Tại ngày1.10.2024 > Số có khả năngtrả nợVND,Phát sinh trong năm > TăngVND,Phát sinh trong năm > GiảmVND,Tại ngày30.9.2025 > Giá trịVND,Tại ngày30.9.2025 > Số có khả năngtrả nợVND,numeric__Tại ngày1.10.2024 > Giá trịVND,numeric__Tại ngày1.10.2024 > Số có khả năngtrả nợVND,numeric__Phát sinh trong năm > TăngVND,numeric__Phát sinh trong năm > GiảmVND,numeric__Tại ngày30.9.2025 > Giá trịVND,numeric__Tại ngày30.9.2025 > Số có khả năngtrả nợVND
Ngân hàng,Ngân hàng,Ngân hàng,5.364.084.453.144,5.364.084.453.144,29.274.496.701.099,(30.234.715.432.112),4.403.865.722.131,4.403.865.722.131,5364084453144.0,5364084453144.0,29274496701099.0,-30234715432112.0,4403865722131.0,4403865722131.0
Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,,Lãi suất%/năm,Kỳ hạn,,Tại ngày30.9.2025VND,Tại ngày30.9.2024VND,,,,,,
Ngân hàng Thương mại Cổ phần Công Thương Việt Nam -Chi nhánh Đông Thành phố Hồ Chí Minh (i)(trước Mizy là Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Khu Công nghiệp Bình Dương)Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam -Chi nhánh Nam Bình Dương (ii),Ngân hàng > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam -Chi nhánh Đông Thành phố Hồ Chí Minh (i)(trước Mizy là Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Khu Công nghiệp Bình Dương)Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam -Chi nhánh Nam Bình Dương (ii),Ngân hàng Thương mại Cổ phần Công Thương Việt Nam -Chi nhánh Đông Thành phố Hồ Chí Minh (i)(trước Mizy là Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Khu Công nghiệp Bình Dương)Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam -Chi nhánh Nam Bình Dương (ii),"3,8% - 4,3%","3,9% - 4,2%",Tối đa không quá 5 tháng kể từ ngày giải ngân.Toi đa không quá 6 tháng kể từ ngày tiếp theo của ngày giải ngân vốn vay và được ghi trên từng Giấy nhận nợ.,1.357.236.353.883,2.271.483.187.859,,,,,1357236353883.0,2271483187859.0,
Ngân hàng Thương mại Cổ phần Đầu Tư và Phát Triển Việt Nam - Chi Nhánh Sở Giao Dịch 2 (iii),Ngân hàng > Ngân hàng Thương mại Cổ phần Đầu Tư và Phát Triển Việt Nam - Chi Nhánh Sở Giao Dịch 2 (iii),Ngân hàng Thương mại Cổ phần Đầu Tư và Phát Triển Việt Nam - Chi Nhánh Sở Giao Dịch 2 (iii),4%,,Theo từng hợp đồng tin dung.,1.310.606.061.142,2.647.446.645.284,,0.04,,,1310606061142.0,2647446645284.0,
Ngân hàng TNHH Mốt thành viên United Overseas Bank(Viết Nam) (iv),Ngân hàng > Ngân hàng TNHH Mốt thành viên United Overseas Bank(Viết Nam) (iv),Ngân hàng TNHH Mốt thành viên United Overseas Bank(Viết Nam) (iv),"3,95% - 4,15%",,Không quá 120 ngày kể từ ngày giải ngân.,790.963.003.699,323.755.954.476,,,,,790963003699.0,323755954476.0,
Ngân Hàng Thương mại Cổ phần Á Châu - Chi nhánh Tân Thuận (v),Ngân hàng > Ngân Hàng Thương mại Cổ phần Á Châu - Chi nhánh Tân Thuận (v),Ngân Hàng Thương mại Cổ phần Á Châu - Chi nhánh Tân Thuận (v),"3,9% - 4,1%",,Thời hạn vay tối đa là 6 tháng kể từ ngày kể tiếp của ngày giải ngân.,536.622.767.537,53.000.000.000,,,,,536622767537.0,53000000000.0,
Ngân Hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh (vi),Ngân hàng > Ngân Hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh (vi),Ngân Hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh (vi),"3,7% - 3,9%",,Theo từng khế ước nhận nợ.,198.543.417.233,-,,,,,198543417233.0,,
Ngân hàng Thương mại Cổ phần Công Thương Việt Nam -Chi Nhánh Bà Rịa - Vũng Tàu (vii),Ngân hàng > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam -Chi Nhánh Bà Rịa - Vũng Tàu (vii),Ngân hàng Thương mại Cổ phần Công Thương Việt Nam -Chi Nhánh Bà Rịa - Vũng Tàu (vii),(*),,Không quá 3 tháng kể từ ngày giải ngân.,-,53.369.294.000,,,,,,53369294000.0,
Ngân hàng Đại chủng TNHH Kasikornbank - Chi nhánh Thanh phố Hồ Chí Minh (viii),Ngân hàng > Ngân hàng Đại chủng TNHH Kasikornbank - Chi nhánh Thanh phố Hồ Chí Minh (viii),Ngân hàng Đại chủng TNHH Kasikornbank - Chi nhánh Thanh phố Hồ Chí Minh (viii),(*),,Không quá 120 ngày kể từ ngày giải ngân.,-,15.029.371.725,,,,,,15029371725.0,
