row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày > 30.09.2025 VND,Năm tài chính kết thúc ngày > 30.09.2024 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày > 30.09.2025 VND,numeric__Năm tài chính kết thúc ngày > 30.09.2024 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,37.320.690.884.017,39.882.804.917.399,,,37320690884017.0,39882804917399.0
02,02,02,Các khoản giảm trừ doanh thu,,(782.875.805.850),(610.911.178.951),,,-782875805850.0,-610911178951.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,26,36.537.815.078.167,39.271.893.738.448,,26.0,36537815078167.0,39271893738448.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,27,(32.017.774.229.562),(35.008.227.341.981),,27.0,-32017774229562.0,-35008227341981.0
20,20,20,Lợi nhuận góp về bán hàng và cung cấp dịch vụ,,4.520.040.848.605,4.263.666.396.467,,,4520040848605.0,4263666396467.0
21,21,21,Doanh thu hoạt động tài chính,28,280.816.502.864,341.714.489.440,,28.0,280816502864.0,341714489440.0
22,22,22,Chi phí tài chính,29,(272.277.658.507),(254.496.678.142),,29.0,-272277658507.0,-254496678142.0
23,23,23,- Trong đó: Chi phí lãi vay,29,(185.092.843.322),(133.022.415.113),,29.0,-185092843322.0,-133022415113.0
25,25,25,Chi phí bán hàng,30,(3.108.884.169.318),(3.344.662.264.465),,30.0,-3108884169318.0,-3344662264465.0
26,26,26,Chi phí quản lý doanh nghiệp,31,(665.712.007.080),(495.608.090.352),,31.0,-665712007080.0,-495608090352.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,753.983.516.564,510.613.852.948,,,753983516564.0,510613852948.0
31,31,31,Thu nhập khác,,76.629.349.526,47.104.533.756,,,76629349526.0,47104533756.0
32,32,32,Chi phí khác,,(5.317.436.255),(6.515.129.358),,,-5317436255.0,-6515129358.0
40,40,40,Lợi nhuận khác,32,71.311.913.271,40.589.404.398,,32.0,71311913271.0,40589404398.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,825.295.429.835,551.203.257.346,,,825295429835.0,551203257346.0
51,51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",33,(107.392.079.743),(83.641.785.140),,33.0,-107392079743.0,-83641785140.0
52,52,52,Thu nhập thuế TNDN hoãn lại,"20, 33",17.108.723.652,47.112.504.164,,,17108723652.0,47112504164.0
60,60,60,Lợi nhuận sau thuế TNDN,,735.012.073.744,514.673.976.370,,,735012073744.0,514673976370.0
,,,Trong đó:,,,,,,,
61,61,61,Lợi nhuận sau thuế của công ty mẹ,,735.018.776.205,514.634.808.368,,,735018776205.0,514634808368.0
62,62,62,Lợi nhuận sau thuế của cổ đông không kiểm soát,,(6.702.461),39.168.002,,,-6702461.0,39168002.0
70,70,70,Lãi cơ bản trên cổ phiếu,24(a),1.137,802,,,1137.0,802.0
71,71,71,Lãi suy giảm trên cổ phiếu,24(b),1.137,802,,,1137.0,802.0
