row_label_raw,row_label_full,12 PHẢI TRẢ NGƯỜI BÁN NGĂN HẠN,12 PHẢI TRẢ NGƯỜI BÁN NGĂN HẠN_1,12 PHẢI TRẢ NGƯỜI BÁN NGĂN HẠN_2,12 PHẢI TRẢ NGƯỜI BÁN NGĂN HẠN_3,12 PHẢI TRẢ NGƯỜI BÁN NGĂN HẠN_4,numeric__12 PHẢI TRẢ NGƯỜI BÁN NGĂN HẠN_1,numeric__12 PHẢI TRẢ NGƯỜI BÁN NGĂN HẠN_2,numeric__12 PHẢI TRẢ NGƯỜI BÁN NGĂN HẠN_3,numeric__12 PHẢI TRẢ NGƯỜI BÁN NGĂN HẠN_4
,,,Tại ngày 30.9.2025,Tại ngày 30.9.2025,Tại ngày 30.9.2024,Tại ngày 30.9.2024,,,,
,,,Giá trị VND,Số có khả năng trả nợ VND,Giá trị VND,Số có khả năng trả nợ VND,,,,
Bên thứ baCông ty Cổ phần Thép Hòa Phát Dung Quát Hangzhou Cogeneration (Hong Kong)Company Limited,Bên thứ baCông ty Cổ phần Thép Hòa Phát Dung Quát Hangzhou Cogeneration (Hong Kong)Company Limited,Bên thứ baCông ty Cổ phần Thép Hòa Phát Dung Quát Hangzhou Cogeneration (Hong Kong)Company Limited,610.665.542.168,610.665.542.168,382.563.821.530,382.563.821.530,610665542168.0,610665542168.0,382563821530.0,382563821530.0
Bên thứ baCông ty Cổ phần Thép Hòa Phát Dung Quát Hangzhou Cogeneration (Hong Kong)Company Limited,Bên thứ baCông ty Cổ phần Thép Hòa Phát Dung Quát Hangzhou Cogeneration (Hong Kong)Company Limited,Bên thứ baCông ty Cổ phần Thép Hòa Phát Dung Quát Hangzhou Cogeneration (Hong Kong)Company Limited,369.869.992.737,369.869.992.737,-,-,369869992737.0,369869992737.0,,
Khác,Khác,Khác,1.061.668.195.508,1.061.668.195.508,1.936.407.728.470,1.936.407.728.470,1061668195508.0,1061668195508.0,1936407728470.0,1936407728470.0
Bên liên quan (Thuyết minh 37(b)),Bên liên quan (Thuyết minh 37(b)),Bên liên quan (Thuyết minh 37(b)),7.366.650.140,7.366.650.140,9.041.894.688,9.041.894.688,7366650140.0,7366650140.0,9041894688.0,9041894688.0
,,,2.049.570.380.553,2.049.570.380.553,2.328.013.444.688,2.328.013.444.688,2049570380553.0,2049570380553.0,2328013444688.0,2328013444688.0
13 NGƯỜI MUA TRẢ TIÊN TRƯỚC NGĂN HẠN,13 NGƯỜI MUA TRẢ TIÊN TRƯỚC NGĂN HẠN,13 NGƯỜI MUA TRẢ TIÊN TRƯỚC NGĂN HẠN,13 NGƯỜI MUA TRẢ TIÊN TRƯỚC NGĂN HẠN,13 NGƯỜI MUA TRẢ TIÊN TRƯỚC NGĂN HẠN,13 NGƯỜI MUA TRẢ TIÊN TRƯỚC NGĂN HẠN,13 NGƯỜI MUA TRẢ TIÊN TRƯỚC NGĂN HẠN,,,,
,,,,,30.9.2025VND,30.9.2024VND,,,,
Bên thứ baMartin Muñiz Molina,13 NGƯỜI MUA TRẢ TIÊN TRƯỚC NGĂN HẠN > Bên thứ baMartin Muñiz Molina,Bên thứ baMartin Muñiz Molina,,,48.598.767.368,2.297.127.400,,,48598767368.0,2297127400.0
Khác,13 NGƯỜI MUA TRẢ TIÊN TRƯỚC NGĂN HẠN > Khác,Khác,,,141.632.677.861,181.046.382.786,,,141632677861.0,181046382786.0
Bên liên quan (Thuyết minh 37(b)),13 NGƯỜI MUA TRẢ TIÊN TRƯỚC NGĂN HẠN > Bên liên quan (Thuyết minh 37(b)),Bên liên quan (Thuyết minh 37(b)),,,31.605.570.850,15.547.244.327,,,31605570850.0,15547244327.0
,,,,,221.837.016.079,198.890.754.513,,,221837016079.0,198890754513.0
