row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,,,
Tại ngày 1 tháng 10 năm 2024,Nguyên giả > Tại ngày 1 tháng 10 năm 2024,Tại ngày 1 tháng 10 năm 2024,2.936.140.943.156,10.578.995.329.276,527.540.969.470,101.182.540.089,40.382.943.165,14.184.242.725.156,2936140943156.0,10578995329276.0,527540969470.0,101182540089.0,40382943165.0,14184242725156.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,44.062.183.692,100.866.396.341,39.067.976.242,2.961.770.886,6.548.839.680,193.507.166.841,44062183692.0,100866396341.0,39067976242.0,2961770886.0,6548839680.0,193507166841.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 11),Nguyên giả > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 11),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 11),245.384.640.859,426.723.019.172,22.398.029.718,240.342.831,2.604.256.710,697.350.289.290,245384640859.0,426723019172.0,22398029718.0,240342831.0,2604256710.0,697350289290.0
Thanh lý,Nguyên giả > Thanh lý,Thanh lý,(4.508.443.457),(527.931.992.703),(27.274.188.806),(1.046.901.979),(427.272.727),(561.188.799.672),-4508443457.0,-527931992703.0,-27274188806.0,-1046901979.0,-427272727.0,-561188799672.0
Xóa số,Nguyên giả > Xóa số,Xóa số,(2.363.219.060),(1.606.654.786),-,(380.664.000),-,(4.350.537.846),-2363219060.0,-1606654786.0,,-380664000.0,,-4350537846.0
Tại ngày 30 tháng 9 năm 2025,Nguyên giả > Tại ngày 30 tháng 9 năm 2025,Tại ngày 30 tháng 9 năm 2025,3.218.716.105.190,10.577.046.097.300,561.732.786.624,102.957.087.827,49.108.766.828,14.509.560.843.769,3218716105190.0,10577046097300.0,561732786624.0,102957087827.0,49108766828.0,14509560843769.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 10 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 10 năm 2024,Tại ngày 1 tháng 10 năm 2024,1.294.821.054.184,8.413.738.740.451,442.992.794.458,88.405.989.693,29.705.709.988,10.269.664.288.774,1294821054184.0,8413738740451.0,442992794458.0,88405989693.0,29705709988.0,10269664288774.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,184.207.715.980,673.100.859.821,28.076.973.190,5.439.638.833,2.996.452.805,893.821.640.630,184207715980.0,673100859821.0,28076973190.0,5439638833.0,2996452805.0,893821640630.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,(2.866.856.477),(523.560.991.052),(23.599.261.446),(1.046.901.979),(427.272.727),(551.501.283.681),-2866856477.0,-523560991052.0,-23599261446.0,-1046901979.0,-427272727.0,-551501283681.0
Xóa số,Giá trị khấu hao lũy kế > Xóa số,Xóa số,(1.892.693.127),(1.559.904.786),-,(380.664.000),-,(3.833.261.913),-1892693127.0,-1559904786.0,,-380664000.0,,-3833261913.0
Tại ngày 30 tháng 9 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 30 tháng 9 năm 2025,Tại ngày 30 tháng 9 năm 2025,1.474.269.220.560,8.561.718.704.434,447.470.506.202,92.418.062.547,32.274.890.067,10.608.151.383.810,1474269220560.0,8561718704434.0,447470506202.0,92418062547.0,32274890067.0,10608151383810.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 10 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 10 năm 2024,Tại ngày 1 tháng 10 năm 2024,1.641.319.888.972,2.165.256.588.825,84.548.175.012,12.776.550.396,10.677.233.177,3.914.578.436.382,1641319888972.0,2165256588825.0,84548175012.0,12776550396.0,10677233177.0,3914578436382.0
Tại ngày 30 tháng 9 năm 2025,Giá trị còn lại > Tại ngày 30 tháng 9 năm 2025,Tại ngày 30 tháng 9 năm 2025,1.744.446.884.630,2.015.327.392.866,114.262.280.422,10.539.025.280,16.833.876.761,3.901.409.459.959,1744446884630.0,2015327392866.0,114262280422.0,10539025280.0,16833876761.0,3901409459959.0
