row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2025VND,30.9.2024VND,,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,999.841.911.140,868.080.164.955,999841911140.0,868080164955.0
Chi phí xuất khẩu,Chi phí xuất khẩu,Chi phí xuất khẩu,872.849.933.092,1.334.709.958.956,872849933092.0,1334709958956.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,321.633.660.928,273.760.273.456,321633660928.0,273760273456.0
Chi phí thuê,Chi phí thuê,Chi phí thuê,198.631.436.219,200.202.739.909,198631436219.0,200202739909.0
Khẩu hao và phân bổ,Khẩu hao và phân bổ,Khẩu hao và phân bổ,163.815.472.182,172.295.710.084,163815472182.0,172295710084.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,132.249.226.474,91.592.844.338,132249226474.0,91592844338.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,96.747.603.743,82.155.176.335,96747603743.0,82155176335.0
Khác,Khác,Khác,323.114.925.540,321.865.396.432,323114925540.0,321865396432.0
,,,3.108.884.169.318,3.344.662.264.465,3108884169318.0,3344662264465.0
