row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2025VND,30.9.2024VND,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,825.295.429.835,551.203.257.346,825295429835.0,551203257346.0
Thuế tính ở thuế suất 10%,Thuế tính ở thuế suất 10%,Thuế tính ở thuế suất 10%,59.127.481.889,30.337.860.555,59127481889.0,30337860555.0
Thuế tính ở thuế suất 17%,Thuế tính ở thuế suất 17%,Thuế tính ở thuế suất 17%,10.247.650.178,(9.552.152.913),10247650178.0,-9552152913.0
Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,34.748.063.156,63.855.414.411,34748063156.0,63855414411.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,36.027.127.772,29.971.623.054,36027127772.0,29971623054.0
Lỗ tính thuế đã được sử dụng,Điều chỉnh: > Lỗ tính thuế đã được sử dụng,Lỗ tính thuế đã được sử dụng,(24.204.865.596),(91.707.562.410),-24204865596.0,-91707562410.0
Lỗ tính thuế mà không ghi nhậntài sản thuế TNDN hoãn lại,Điều chỉnh: > Lỗ tính thuế mà không ghi nhậntài sản thuế TNDN hoãn lại,Lỗ tính thuế mà không ghi nhậntài sản thuế TNDN hoãn lại,4.744.238.703,18.148.455.618,4744238703.0,18148455618.0
Chênh lệch tạm thời mà không ghi nhận thuếTNDN hoãn lại,Điều chỉnh: > Chênh lệch tạm thời mà không ghi nhận thuếTNDN hoãn lại,Chênh lệch tạm thời mà không ghi nhận thuếTNDN hoãn lại,(3.377.184.011),(1.809.542.569),-3377184011.0,-1809542569.0
Ảnh hưởng của thay đổi thuế suất khác nhauáp dụng cho các công ty con,Điều chỉnh: > Ảnh hưởng của thay đổi thuế suất khác nhauáp dụng cho các công ty con,Ảnh hưởng của thay đổi thuế suất khác nhauáp dụng cho các công ty con,(4.490.421.413),8.781.724.385,-4490421413.0,8781724385.0
Thuế được giảm,Điều chỉnh: > Thuế được giảm,Thuế được giảm,(23.544.568.121),(12.483.048.745),-23544568121.0,-12483048745.0
Dự phòng thừa của năm trước,Điều chỉnh: > Dự phòng thừa của năm trước,Dự phòng thừa của năm trước,1.005.833.534,986.509.590,1005833534.0,986509590.0
Chi phí thuế TNDN (*),Điều chỉnh: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),90.283.356.091,36.529.280.976,90283356091.0,36529280976.0
Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất:,,
Thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,107.392.079.743,83.641.785.140,107392079743.0,83641785140.0
Thuế TNDN - hoãn lại (Thuyết minh 20),Chi phí thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hoãn lại (Thuyết minh 20),Thuế TNDN - hoãn lại (Thuyết minh 20),(17.108.723.652),(47.112.504.164),-17108723652.0,-47112504164.0
,,,90.283.356.091,36.529.280.976,90283356091.0,36529280976.0
