row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__col_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,,30.9.2025VND,30.9.2024VND,,,
(i),(i),(i),Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,
(i),(i) > (i),(i),Công ty TNHH Tập đoàn Đầu tư Hoa Sen,4.801.619.080.817,3.689.802.431.194,,4801619080817.0,3689802431194.0
(i),(i) > (i),(i),Công ty TNHH Mốt thành viên Đầu tưHoa Sen Nghệ An,216.000.000,216.980.000,,216000000.0,216980000.0
(i),(i) > (i),(i),Công ty TNHH Dash,86.208.736,-,,86208736.0,
(i),(i) > (i),(i),,4.801.921.289.553,3.690.019.411.194,,4801921289553.0,3690019411194.0
(ii),(ii),(ii),Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,,,
(ii),(ii) > (ii),(ii),Công ty TNHH Tập đoàn Đầu tư Hoa Sen,48.322.992.622,251.212.342.420,,48322992622.0,251212342420.0
(ii),(ii) > (ii),(ii),Công ty TNHH Mốt thành viên Đầu tư Hoa SenNghệ An,45.499.936.267,53.442.718.128,,45499936267.0,53442718128.0
(ii),(ii) > (ii),(ii),Công ty TNHH Dash,2.636.239.350,-,,2636239350.0,
(ii),(ii) > (ii),(ii),,96.459.168.239,304.655.060.548,,96459168239.0,304655060548.0
(iii),(iii),(iii),"Bán TSCĐ và công cụ, dụng cụ","Bán TSCĐ và công cụ, dụng cụ","Bán TSCĐ và công cụ, dụng cụ",,,
(iii),(iii) > (iii),(iii),Công ty TNHH Tập đoàn Đầu tư Hoa Sen,85.000.000,154.000.000,,85000000.0,154000000.0
