row_label_raw,row_label_full,col_0,col_1,Tại ngày1.10.2024VND,Số phải thu/phàinộp trong nămVND,Số đã thực nộptrong nămVND,Số đã cần trữtrong nămVND,Số đã đượchoản trong nămVND,Phân loại lạiVND,Tại ngày30.9.2025VND,numeric__col_1,numeric__Tại ngày1.10.2024VND,numeric__Số phải thu/phàinộp trong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Số đã cần trữtrong nămVND,numeric__Số đã đượchoản trong nămVND,numeric__Phân loại lạiVND,numeric__Tại ngày30.9.2025VND
(a),(a),(a),Thuế GTGT được khấu trừThuế GTGT đượckhẩu trừ,560.536.071.430,9.154.319.214.091,-,(8.237.408.078.896),(958.500.000.000),-,518.947.206.625,,560536071430.0,9154319214091.0,,-8237408078896.0,-958500000000.0,,518947206625.0
(b),(b),(b),Phải thuThuế TNDN,128.398.679.248,-,-,-,-,(16.664.467.110),111.734.212.138,,128398679248.0,,,,,-16664467110.0,111734212138.0
(b),(b),(b),Thuế thu nhập cá nhân,55.425.031,-,-,-,-,(55.242.080),182.951,,55425031.0,,,,,-55242080.0,182951.0
(b),(b),(b),,128.454.104.279,-,-,-,-,(16.719.709.190),111.734.395.089,,128454104279.0,,,,,-16719709190.0,111734395089.0
(c),(c),(c),Phải nộpThuế GTGT hàngnhập khẩu,58.127.130.525,819.445.785.246,(782.421.738.448),-,-,-,95.151.177.323,,58127130525.0,819445785246.0,-782421738448.0,,,,95151177323.0
(c),(c),(c),Thuế GTGT,31.172.301.831,8.479.255.272.285,(260.151.133.224),(8.237.408.078.896),-,-,12.868.361.996,,31172301831.0,8479255272285.0,-260151133224.0,-8237408078896.0,,,12868361996.0
(c),(c),(c),Thuế TNDN,13.532.163.678,107.392.079.743,(92.443.830.039),-,-,(16.664.467.110),11.815.946.272,,13532163678.0,107392079743.0,-92443830039.0,,,-16664467110.0,11815946272.0
(c),(c),(c),Thuế thu nhập cá nhân,3.464.458.531,61.312.224.853,(61.280.456.837),-,-,(55.242.080),3.440.985.467,,3464458531.0,61312224853.0,-61280456837.0,,,-55242080.0,3440985467.0
(c),(c),(c),Thuế xuất nhập khẩu,38.256.269,18.020.064.062,(18.027.579.347),-,-,-,30.740.984,,38256269.0,18020064062.0,-18027579347.0,,,,30740984.0
(c),(c),(c),Khác,20.043.655,15.927.268.986,(15.693.359.659),-,-,-,253.952.982,,20043655.0,15927268986.0,-15693359659.0,,,,253952982.0
(c),(c),(c),,106.354.354.489,9.501.352.695.175,(1.230.018.096.554),(8.237.408.078.896),-,(16.719.709.190),123.561.165.024,,106354354489.0,9501352695175.0,-1230018096554.0,-8237408078896.0,,-16719709190.0,123561165024.0
