row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phân mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phân mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 10 năm 2024,Nguyên giá > Tại ngày 1 tháng 10 năm 2024,Tại ngày 1 tháng 10 năm 2024,234.582.707.708,70.452.537.002,305.035.244.710,234582707708.0,70452537002.0,305035244710.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,31.997.630.000,1.063.048.200,33.060.678.200,31997630000.0,1063048200.0,33060678200.0
Chuyên từ xây dựng cơ bản dở dang (Thuyết minh 11),Nguyên giá > Chuyên từ xây dựng cơ bản dở dang (Thuyết minh 11),Chuyên từ xây dựng cơ bản dở dang (Thuyết minh 11),-,292.089.600,292.089.600,,292089600.0,292089600.0
Tại ngày 30 tháng 9 năm 2025,Nguyên giá > Tại ngày 30 tháng 9 năm 2025,Tại ngày 30 tháng 9 năm 2025,266.580.337.708,71.807.674.802,338.388.012.510,266580337708.0,71807674802.0,338388012510.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 10 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 10 năm 2024,Tại ngày 1 tháng 10 năm 2024,54.847.226.413,54.026.454.280,108.873.680.693,54847226413.0,54026454280.0,108873680693.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,4.416.576.136,4.822.403.084,9.238.979.220,4416576136.0,4822403084.0,9238979220.0
Tại ngày 30 tháng 9 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 30 tháng 9 năm 2025,Tại ngày 30 tháng 9 năm 2025,59.263.802.549,58.848.857.364,118.112.659.913,59263802549.0,58848857364.0,118112659913.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 10 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 10 năm 2024,Tại ngày 1 tháng 10 năm 2024,179.735.481.295,16.426.082.722,196.161.564.017,179735481295.0,16426082722.0,196161564017.0
Tại ngày 30 tháng 9 năm 2025,Giá trị còn lại > Tại ngày 30 tháng 9 năm 2025,Tại ngày 30 tháng 9 năm 2025,207.318.535.159,12.958.817.438,220.275.352.597,207318535159.0,12958817438.0,220275352597.0
