row_label_raw,row_label_full,col_0,Giá trị ước tính (i),Giá trị ước tính (i)_1,numeric__Giá trị ước tính (i),numeric__Giá trị ước tính (i)_1
,,,31.12.2017Triệu VND,31.12.2016Triệu VND,,
Cổ phiếu của các TCTD khác,Cổ phiếu của các TCTD khác,Cổ phiếu của các TCTD khác,Cổ phiếu của các TCTD khác,Cổ phiếu của các TCTD khác,,
Niêm yết,Niêm yết,Niêm yết,Niêm yết,Niêm yết,,
+ Giá giao dịch chuyển nhượng gần nhất (ii),Niêm yết > + Giá giao dịch chuyển nhượng gần nhất (ii),+ Giá giao dịch chuyển nhượng gần nhất (ii),1.237.436,1.961.423,1237436.0,1961423.0
Chưa niêm yết,Chưa niêm yết,Chưa niêm yết,Chưa niêm yết,Chưa niêm yết,,
+ Giá giao dịch chuyển nhượng gần nhất (iii),Chưa niêm yết > + Giá giao dịch chuyển nhượng gần nhất (iii),+ Giá giao dịch chuyển nhượng gần nhất (iii),919.790,1.386.125,919790.0,1386125.0
,,,2.157.226,3.347.548,2157226.0,3347548.0
Cổ phiếu của các doanh nghiệp,Cổ phiếu của các doanh nghiệp,Cổ phiếu của các doanh nghiệp,Cổ phiếu của các doanh nghiệp,Cổ phiếu của các doanh nghiệp,,
Niêm yết,Niêm yết,Niêm yết,Niêm yết,Niêm yết,,
+ Giá trị thị trường của cổ phiếu,Niêm yết > + Giá trị thị trường của cổ phiếu,+ Giá trị thị trường của cổ phiếu,20.915,39.940,20915.0,39940.0
Chưa niêm yết,Chưa niêm yết,Chưa niêm yết,Chưa niêm yết,Chưa niêm yết,,
+ Giá trị tài sản thuần theo sổ sách,Chưa niêm yết > + Giá trị tài sản thuần theo sổ sách,+ Giá trị tài sản thuần theo sổ sách,487.895,459.509,487895.0,459509.0
+ Theo mô hình định giá nội bộ,Chưa niêm yết > + Theo mô hình định giá nội bộ,+ Theo mô hình định giá nội bộ,39.189,111.033,39189.0,111033.0
+ Dựa trên giá trị thị trường của bất động sản mà doanh nghiệp đang sở hữu hoặc có quyền khai thác,Chưa niêm yết > + Dựa trên giá trị thị trường của bất động sản mà doanh nghiệp đang sở hữu hoặc có quyền khai thác,+ Dựa trên giá trị thị trường của bất động sản mà doanh nghiệp đang sở hữu hoặc có quyền khai thác,36.792,42.777,36792.0,42777.0
,,,584.791,653.259,584791.0,653259.0
Tài sản bảo đảm khác,Tài sản bảo đảm khác,Tài sản bảo đảm khác,Tài sản bảo đảm khác,Tài sản bảo đảm khác,,
+ Các khoản góp vốn - Theo mô hình định giá nội bộ,Tài sản bảo đảm khác > + Các khoản góp vốn - Theo mô hình định giá nội bộ,+ Các khoản góp vốn - Theo mô hình định giá nội bộ,-,59.692,,59692.0
+ Các khoản phải thu - Giá trị sổ sách,Tài sản bảo đảm khác > + Các khoản phải thu - Giá trị sổ sách,+ Các khoản phải thu - Giá trị sổ sách,-,101.195,,101195.0
+ Thư bảo lãnh của TCTD khác - Giá trị bảo lãnh,Tài sản bảo đảm khác > + Thư bảo lãnh của TCTD khác - Giá trị bảo lãnh,+ Thư bảo lãnh của TCTD khác - Giá trị bảo lãnh,300.000,300.000,300000.0,300000.0
,,,300.000,460.887,300000.0,460887.0
,,,3.042.017,4.461.694,3042017.0,4461694.0
Nguồn trả nợ khác,Nguồn trả nợ khác,Nguồn trả nợ khác,Nguồn trả nợ khác,Nguồn trả nợ khác,,
Tiền gửi tại Ngân hàng - Giá trị sổ sách,Nguồn trả nợ khác > Tiền gửi tại Ngân hàng - Giá trị sổ sách,Tiền gửi tại Ngân hàng - Giá trị sổ sách,9.472,17.987,9472.0,17987.0
,,,3.051.489,4.479.681,3051489.0,4479681.0
