row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Ngân hàngTriệu VND,Chứng khoánTriệu VND,Quản lýnợTriệu VND,Cho thuệtài chínhTriệu VND,Quản lý quỹTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Ngân hàngTriệu VND,numeric__Chứng khoánTriệu VND,numeric__Quản lýnợTriệu VND,numeric__Cho thuệtài chínhTriệu VND,numeric__Quản lý quỹTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",4.851.704,-,3,-,3,-,4.851.710,4851704.0,,3.0,,3.0,,4851710.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,2.937.115,69.320,26,1.157,-,-,3.007.618,2937115.0,69320.0,26.0,1157.0,,,3007618.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,275.608.363,2.681.879,400.261,899.494,52.672,(3.185.874),276.456.795,275608363.0,2681879.0,400261.0,899494.0,52672.0,-3185874.0,276456795.0
,,,283.397.182,2.751.199,400.290,900.651,52.675,(3.185.874),284.316.123,283397182.0,2751199.0,400290.0,900651.0,52675.0,-3185874.0,284316123.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Nợ phải trả khách hàng bên ngoài,Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,266.781.584,885.772,1.857,562.370,200,(871.451),267.360.332,266781584.0,885772.0,1857.0,562370.0,200.0,-871451.0,267360332.0
Nợ phải trả nội bộ,Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,838.066,7.347,108,1.286,286,-,847.093,838066.0,7347.0,108.0,1286.0,286.0,,847093.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,77.790,-,61,-,-,-,77.851,77790.0,,61.0,,,,77851.0
,,,267.697.440,893.119,2.026,563.656,486,(871.451),268.285.276,267697440.0,893119.0,2026.0,563656.0,486.0,-871451.0,268285276.0
