row_label_raw,row_label_full,col_0,col_1,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2016 Triệu VND,numeric__col_1,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2016 Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,Mua sắm tài sản cố định,,(713.293),(584.690),,,-713293.0,-584690.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,25.174,1.578,,,25174.0,1578.0
04,04,04,Mua sắm bất động sản đầu tư,,-,(181.284),,,,-181284.0
05,05,05,"Tiền thu từ thanh lý, nhượng bán bất động sản đầu tư",,14.605,38.368,,,14605.0,38368.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,5.610,224.204,,,5610.0,224204.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,32.159,34.278,,,32159.0,34278.0
II,II,II,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(635.745),(467.546),,,-635745.0,-467546.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
02,02,02,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tư có và các khoản vốn vay dài hạn khác,,-,3.054.000,,,,3054000.0
04,04,04,Lợi nhuận đã chia,20.1,(130.000),-,,201.0,-130000.0,
III,III,III,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(130.000),3.054.000,,,-130000.0,3054000.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,,4.119.776,2.388.496,,,4119776.0,2388496.0
V,V,V,TIÊN VÀ CÁC KHOẦN TƯƠNG ĐƯƠNG TIỀN TẠI THỜI ĐIỂM ĐẦU NĂM,,14.578.877,12.190.381,,,14578877.0,12190381.0
VII,VII,VII,TIÊN VÀ CÁC KHOẦN TƯƠNG ĐƯƠNG TIỀN TẠI THỜI ĐIỂM CUỐI NĂM,34,18.698.653,14.578.877,,34.0,18698653.0,14578877.0
