row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2017Triệu VND,Tại ngày > 31.12.2016Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2017Triệu VND,numeric__Tại ngày > 31.12.2016Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,15,15.453.746,2.235.115,,15.0,15453746.0,2235115.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,12.130.254,1.735.365,,,12130254.0,1735365.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,3.323.492,499.750,,,3323492.0,499750.0
III,B > III,III,Tiền gửi của khách hàng,16,241.392.932,207.051.269,,16.0,241392932.0,207051269.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,10.491,-,,8.0,10491.0,
V,B > V,V,"Vốn tài trợ, uỷ thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",17,136.466,122.697,,17.0,136466.0,122697.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,6.761.000,6.615.000,,18.0,6761000.0,6615000.0
VII,B > VII,VII,Các khoản nợ khác,,4.530.641,3.594.080,,,4530641.0,3594080.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.815.502,2.281.452,,,2815502.0,2281452.0
2,B > 2,2,Thuế thu nhập doanh nghiệp hoãn lại phải trả,,-,462,,,,462.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,1.715.139,1.312.166,,19.0,1715139.0,1312166.0
,,,TỔNG NỘ PHẢI TRẢ,,268.285.276,219.618.161,,,268285276.0,219618161.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,,16.030.847,14.062.716,,,16030847.0,14062716.0
1,B > 1,1,Vốn của tổ chức tín dụng,20,9.607.514,8.711.240,,20.0,9607514.0,8711240.0
a,B > a,a,Vốn điều lệ,,10.273.239,9.376.965,,,10273239.0,9376965.0
d,B > d,d,Cổ phiếu quỹ,,(665.725),(665.725),,,-665725.0,-665725.0
2,B > 2,2,Quỹ của tổ chức tín dụng,20.1,2.913.780,2.590.181,,201.0,2913780.0,2590181.0
5,B > 5,5,Lợi nhuận chưa phân phối,20.1,3.509.553,2.761.295,,201.0,3509553.0,2761295.0
a,B > a,a,Lợi nhuận năm nay,,1.788.105,1.109.317,,,1788105.0,1109317.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,1.721.448,1.651.978,,,1721448.0,1651978.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,16.030.847,14.062.716,,,16030847.0,14062716.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,284.316.123,233.680.877,,,284316123.0,233680877.0
