row_label_raw,row_label_full,col_0,VND,USD,Vàng,EUR,JPY,AUD,CAD,Khác,Tổng cộng,numeric__VND,numeric__USD,numeric__Vàng,numeric__EUR,numeric__JPY,numeric__AUD,numeric__CAD,numeric__Khác,numeric__Tổng cộng
Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",3.780.024,990.872,31.738,8.690,8.169,14.930,9.878,7.409,4.851.710,3780024.0,990872.0,31738.0,8690.0,8169.0,14930.0,9878.0,7409.0,4851710.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,7.530.960,783.614,-,-,-,-,-,-,8.314.574,7530960.0,783614.0,,,,,,,8314574.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),7.009.286,1.849.699,-,101.902,89.604,12.930,6.193,25.874,9.095.488,7009286.0,1849699.0,,101902.0,89604.0,12930.0,6193.0,25874.0,9095488.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),1.239.991,-,-,-,-,-,-,-,1.239.991,1239991.0,,,,,,,,1239991.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),189.662.730,8.668.706,180.638,1.320,-,-,-,-,198.513.394,189662730.0,8668706.0,180638.0,1320.0,,,,,198513394.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),53.158.973,-,-,-,-,-,-,-,53.158.973,53158973.0,,,,,,,,53158973.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",195.595,-,-,-,-,-,-,-,195.595,195595.0,,,,,,,,195595.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,3.007.618,-,-,-,-,-,-,-,3.007.618,3007618.0,,,,,,,,3007618.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,256.132,-,-,-,-,-,-,-,256.132,256132.0,,,,,,,,256132.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),8.864.073,735.661,2.914,2,-,-,9,36,9.602.695,8864073.0,735661.0,2914.0,2.0,,,9.0,36.0,9602695.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,274.705.382,13.028.552,215.290,111.914,97.773,27.860,16.080,33.319,288.236.170,274705382.0,13028552.0,215290.0,111914.0,97773.0,27860.0,16080.0,33319.0,288236170.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,11.918.116,3.535.630,-,-,-,-,-,-,15.453.746,11918116.0,3535630.0,,,,,,,15453746.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,231.032.769,10.142.434,-,94.435,94.000,17.799,2.064,9.431,241.392.932,231032769.0,10142434.0,,94435.0,94000.0,17799.0,2064.0,9431.0,241392932.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,1.216.316,(1.219.890),-,-,-,2.636,8.060,3.369,10.491,1216316.0,-1219890.0,,,,2636.0,8060.0,3369.0,10491.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",106.621,-,-,-,29.845,-,-,-,136.466,106621.0,,,,29845.0,,,,136466.0
Phát hành giấy tờ có giả,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,6.761.000,-,-,-,-,-,-,-,6.761.000,6761000.0,,,,,,,,6761000.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,3.939.004,206.849,-,12.237,354.791,5.732,4.771,7.257,4.530.641,3939004.0,206849.0,,12237.0,354791.0,5732.0,4771.0,7257.0,4530641.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,16.030.847,-,-,-,-,-,-,-,16.030.847,16030847.0,,,,,,,,16030847.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,271.004.673,12.665.023,-,106.672,478.636,26.167,14.895,20.057,284.316.123,271004673.0,12665023.0,,106672.0,478636.0,26167.0,14895.0,20057.0,284316123.0
