row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Ngân hàngTriệu VND,Chứng khoánTriệu VND,Quản lýnợTriệu VND,Cho thuệtài chínhTriệu VND,Quản lý quỹTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Ngân hàngTriệu VND,numeric__Chứng khoánTriệu VND,numeric__Quản lýnợTriệu VND,numeric__Cho thuệtài chínhTriệu VND,numeric__Quản lý quỹTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",3.541.348,-,30,-,10,-,3.541.388,3541348.0,,30.0,,10.0,,3541388.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,2.769.593,79.591,38,1.336,-,-,2.850.558,2769593.0,79591.0,38.0,1336.0,,,2850558.0
Tải sản khác,Tải sản > Tải sản khác,Tải sản khác,226.748.955,2.432.787,393.262,970.053,49.542,(3.305.668),227.288.931,226748955.0,2432787.0,393262.0,970053.0,49542.0,-3305668.0,227288931.0
,,,233.059.896,2.512.378,393.330,971.389,49.552,(3.305.668),233.680.877,233059896.0,2512378.0,393330.0,971389.0,49552.0,-3305668.0,233680877.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Nợ phải trả khách hàng bên ngoài,Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,218.183.138,567.037,-,122.399,-,(21.314),218.851.260,218183138.0,567037.0,,122399.0,,-21314.0,218851260.0
Nợ phải trả nội bộ,Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,1.042.180,11.931,2.010,492.345,247,(928.490),620.223,1042180.0,11931.0,2010.0,492345.0,247.0,-928490.0,620223.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,73.887,67.429,1.862,21.608,93,(18.201),146.678,73887.0,67429.0,1862.0,21608.0,93.0,-18201.0,146678.0
,,,219.299.205,646.397,3.872,636.352,340,(968.005),219.618.161,219299205.0,646397.0,3872.0,636352.0,340.0,-968005.0,219618161.0
