row_label_raw,row_label_full,col_0,col_1,Cho năm tài chính kết thúc ngày 31 tháng 12 năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm_1
,,,,2017Triệu VND,2016Triệu VND,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,19.993.283,16.096.594,,19993283.0,16096594.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,Chi phí lãi và các chi phí tương tự đã trả,(11.327.835),(8.961.266),,-11327835.0,-8961266.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Thu nhập từ hoạt động dịch vụ nhận được,1.188.331,944.382,,1188331.0,944382.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,"Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",532.644,524.755,,532644.0,524755.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Thu nhập khác,521.423,200.509,,521423.0,200509.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,"Tiền thu các khoản nợ đã được xử lý xóa, bù đáp bằng nguồn rủi ro",369.312,79.185,,369312.0,79185.0
07,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,Tiền chi trả cho nhân viên và hoạt động quản lý,(4.920.839),(4.297.586),,-4920839.0,-4297586.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,(557.841),(360.194),,-557841.0,-360194.0
LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỐI VỀ TÀI SẢN VÀ CÔNG NỘ HOẠT ĐỘNG,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỐI VỀ TÀI SẢN VÀ CÔNG NỘ HOẠT ĐỘNG,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỐI VỀ TÀI SẢN VÀ CÔNG NỘ HOẠT ĐỘNG,5.798.478,4.226.379,,5798478.0,4226379.0,
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09,Những thay đổi về tài sản hoạt động > 09,09,(Tăng)/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,(1.157.395),3.141.004,,-1157395.0,3141004.0
10,Những thay đổi về tài sản hoạt động > 10,10,Tăng các khoản về kinh doanh chứng khoán,(7.512.729),(6.132.295),,-7512729.0,-6132295.0
11,Những thay đổi về tài sản hoạt động > 11,11,Giảm các công cụ tài chính phải sinh và các tài sản tài chính khác,16.065,31.538,,16065.0,31538.0
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng,(35.112.173),(28.052.950),,-35112173.0,-28052950.0
13,Những thay đổi về tài sản hoạt động > 13,13,Giảm nguồn dự phòng để bù đáp tổn thất các khoản,(4.660.790),(1.329.800),,-4660790.0,-1329800.0
14,Những thay đổi về tài sản hoạt động > 14,14,(Tăng)/giảm khác về tài sản hoạt động,(545.622),624.073,,-545622.0,624073.0
Những thay đổi về nợ hoạt động,Những thay đổi về nợ hoạt động,Những thay đổi về nợ hoạt động,Những thay đổi về nợ hoạt động,Những thay đổi về nợ hoạt động,Những thay đổi về nợ hoạt động,,,
15,Những thay đổi về nợ hoạt động > 15,15,Giảm các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,(5.178.981),,,-5178981.0
16,Những thay đổi về nợ hoạt động > 16,16,"Tăng/(giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng khác",13.218.631,(198.215),,13218631.0,-198215.0
17,Những thay đổi về nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,34.341.663,32.132.272,,34341663.0,32132272.0
18,Những thay đổi về nợ hoạt động > 18,18,Tăng phát hành giấy tờ có giá,146.000,486.000,,146000.0,486000.0
19,Những thay đổi về nợ hoạt động > 19,19,"Tăng/(giảm) vốn tài trợ, uỷ thác đầu tư, cho vay mà tổ chức tín dụng chịu rủi ro",13.769,(38.981),,13769.0,-38981.0
20,Những thay đổi về nợ hoạt động > 20,20,Tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,10.491,-,,10491.0,
21,Những thay đổi về nợ hoạt động > 21,21,Tăng khác về công nợ hoạt động,334.163,97.036,,334163.0,97036.0
22,Những thay đổi về nợ hoạt động > 22,22,Chi từ các quỹ,(5.030),(5.038),,-5030.0,-5038.0
I,Những thay đổi về nợ hoạt động > I,I,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH,4.885.521,(197.958),,4885521.0,-197958.0
