row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2017 Triệu VND,Tại ngày > 31.12.2016 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2017 Triệu VND,numeric__Tại ngày > 31.12.2016 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,4.851.710,3.541.388,,4.0,4851710.0,3541388.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,8.314.574,5.119.306,,5.0,8314574.0,5119306.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,8.941.727,8.152.027,,6.0,8941727.0,8152027.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,6.1,5.932.369,6.443.182,,61.0,5932369.0,6443182.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,6.1,3.163.119,1.880.725,,61.0,3163119.0,1880725.0
3,A > 3,3,Dự phòng rủi ro,6.3,(153.761),(171.880),,63.0,-153761.0,-171880.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,1.236.555,1.183.306,,7.0,1236555.0,1183306.0
1,A > 1,1,Chứng khoán kinh doanh,7.1,1.239.991,1.211.314,,71.0,1239991.0,1211314.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,7.2,(3.436),(28.008),,72.0,-3436.0,-28008.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,-,16.065,,8.0,,16065.0
VI,A > VI,VI,Cho vay khách hàng,,196.668.756,161.604.426,,,196668756.0,161604426.0
1,A > 1,1,Cho vay khách hàng,9,198.513.394,163.401.221,,9.0,198513394.0,163401221.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9.7,(1.844.638),(1.796.795),,97.0,-1844638.0,-1796795.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,52.718.405,42.801.465,,10.0,52718405.0,42801465.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,10.1,8.007.491,10.962.613,,101.0,8007491.0,10962613.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10.1,45.151.482,34.824.159,,101.0,45151482.0,34824159.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,10.3,(440.568),(2.985.307),,103.0,-440568.0,-2985307.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,190.042,190.194,,11.0,190042.0,190194.0
2,A > 2,2,Vốn góp liên doanh,11.2,1.280,1.280,,112.0,1280.0,1280.0
3,A > 3,3,Đầu tư vào công ty liên kết,11.2,388,346,,112.0,388.0,346.0
4,A > 4,4,Đầu tư dài hạn khác,11.3,193.927,199.537,,113.0,193927.0,199537.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,11.4,(5.553),(10.969),,114.0,-5553.0,-10969.0
X,A > X,X,Tài sản cố định,12,3.007.618,2.850.558,,12.0,3007618.0,2850558.0
1,A > 1,1,Tài sản cố định hữu hình,12(a),2.474.830,2.338.722,,,2474830.0,2338722.0
a,A > a,a,Nguyên giá tài sản cố định,,4.048.359,3.682.372,,,4048359.0,3682372.0
b,A > b,b,Hao mòn tài sản cố định,,(1.573.529),(1.343.650),,,-1573529.0,-1343650.0
3,A > 3,3,Tài sản cố định vô hình,12(b),532.788,511.836,,,532788.0,511836.0
a,A > a,a,Nguyên giá tài sản cố định,,790.433,722.821,,,790433.0,722821.0
b,A > b,b,Hao mòn tài sản cố định,,(257.645),(210.985),,,-257645.0,-210985.0
XI,A > XI,XI,Bất động sản đầu tư,13,256.132,211.872,,13.0,256132.0,211872.0
a,A > a,a,Nguyên giá bất động sản đầu tư,,257.855,212.954,,,257855.0,212954.0
b,A > b,b,Hao mòn bất động sản đầu tư,,(1.723),(1.082),,,-1723.0,-1082.0
XII,A > XII,XII,Tài sản Có khác,14,8.130.604,8.010.270,,14.0,8130604.0,8010270.0
1,A > 1,1,Các khoản phải thu,14.1,5.326.279,4.620.331,,141.0,5326279.0,4620331.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.567.819,3.241.224,,,3567819.0,3241224.0
3,A > 3,3,Tài sản thuê thu nhập doanh nghiệp hoãn lại,,17.603,-,,,17603.0,
4,A > 4,4,Tài sản Có khác,14.2,690.994,666.881,,142.0,690994.0,666881.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,14.3,(1.472.091),(518.166),,143.0,-1472091.0,-518166.0
,,,TỔNG TÀI SẢN,,284.316.123,233.680.877,,,284316123.0,233680877.0
