row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ vốn có phần,Tỷ lệ vốn có phần_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ vốn có phần,numeric__Tỷ lệ vốn có phần_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,31.12.2017,31.12.2016,,,31122017.0,31122016.0
"Công ty Cổ phần Dịch vụ Bảo vệ Ngân hàng Á Châu (""ACBD"")","Công ty Cổ phần Dịch vụ Bảo vệ Ngân hàng Á Châu (""ACBD"")","Công ty Cổ phần Dịch vụ Bảo vệ Ngân hàng Á Châu (""ACBD"")",0303832198,Dịch vụ bảo vệ,10%,10%,303832198.0,,0.1,0.1
