row_label_raw,row_label_full,col_0,2017 > Số dư tại ngày 31.12.2017Triệu VND (iii),2017 > Số dư tại ngày 30.11.2017Triệu VND,2017 > Phân loại nợ tại ngày 30.11.2017 (ii),2016 > Số dư tại ngày 31.12.2016Triệu VND,2016 > Phân loại nợ tại ngày 31.12.2016 (i),numeric__2017 > Số dư tại ngày 31.12.2017Triệu VND (iii),numeric__2017 > Số dư tại ngày 30.11.2017Triệu VND,numeric__2017 > Phân loại nợ tại ngày 30.11.2017 (ii),numeric__2016 > Số dư tại ngày 31.12.2016Triệu VND,numeric__2016 > Phân loại nợ tại ngày 31.12.2016 (i)
Số dư nợ,Số dư nợ,Số dư nợ,Số dư nợ,Số dư nợ,Số dư nợ,Số dư nợ,Số dư nợ,,,,,
Cho vay khách hàng,Số dư nợ > Cho vay khách hàng,Cho vay khách hàng,-,1.048.697,5,1.427.566,2,,1048697.0,5.0,1427566.0,2.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Số dư nợ > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,-,1.718.807,5,1.837.319,2,,1718807.0,5.0,1837319.0,2.0
Các khoản phải thu khác,Số dư nợ > Các khoản phải thu khác,Các khoản phải thu khác,616.318,626.952,,648.500,,616318.0,626952.0,,648500.0,
Tổng dư nợ,Số dư nợ > Tổng dư nợ,Tổng dư nợ,616.318,3.394.456,,3.913.385,,616318.0,3394456.0,,3913385.0,
Dự phòng trích lập,Dự phòng trích lập,Dự phòng trích lập,Dự phòng trích lập,Dự phòng trích lập,Dự phòng trích lập,Dự phòng trích lập,Dự phòng trích lập,,,,,
Cho vay khách hàng,Dự phòng trích lập > Cho vay khách hàng,Cho vay khách hàng,-,(1.048.697),,(205.445),,,-1048697.0,,-205445.0,
Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng trích lập > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,-,(1.718.807),,(1.853.424),,,-1718807.0,,-1853424.0,
Các khoản phải thu khác,Dự phòng trích lập > Các khoản phải thu khác,Các khoản phải thu khác,(616.318),(553.846),,(353.846),,-616318.0,-553846.0,,-353846.0,
Tổng dự phòng trích lập,Dự phòng trích lập > Tổng dự phòng trích lập,Tổng dự phòng trích lập,(616.318),(3.321.350),,(2.412.715),,-616318.0,-3321350.0,,-2412715.0,
,,,-,73.106,,1.500.670,,,73106.0,,1500670.0,
