row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2016,Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2016,Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2016,Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2016,Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2016,numeric__Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2016,numeric__Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2016,numeric__Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2016
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,3.541.388,-,-,-,-,3.541.388,,,3541388.0,,,,,3541388.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,5.119.306,-,-,-,-,5.119.306,,,5119306.0,,,,,5119306.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),525.000,-,6.064.915,1.489.328,244.664,-,-,8.323.907,525000.0,,6064915.0,1489328.0,244664.0,,,8323907.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,1.211.314,-,-,-,-,1.211.314,,,1211314.0,,,,,1211314.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,16.065,-,-,-,-,16.065,,,16065.0,,,,,16065.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),2.775.354,418.804,8.330.288,16.279.482,52.105.148,26.393.024,57.099.121,163.401.221,2775354.0,418804.0,8330288.0,16279482.0,52105148.0,26393024.0,57099121.0,163401221.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,-,1.239.705,1.517.491,1.056.239,36.892.683,5.080.654,45.786.772,,,1239705.0,1517491.0,1056239.0,36892683.0,5080654.0,45786772.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,-,-,-,-,-,201.163,201.163,,,,,,,201163.0,201163.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,2.850.558,2.850.558,,,,,,,2850558.0,2850558.0
