row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Phần mềm máy tính,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,9.979.779.754,9979779754.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,1.544.850.000,1544850000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,11.524.629.754,11524629754.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,4.662.726.898,4662726898.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,1.728.056.079,1728056079.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,6.390.782.977,6390782977.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,5.317.052.856,5317052856.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,5.133.846.777,5133846777.0
