row_label_raw,row_label_full,Đơn vị tính: VND > Các bên liên quan > Vay ngắn hạn (Thuyết minh số 24),Đơn vị tính: VND > Mối quan hệ > Vay ngắn hạn (Thuyết minh số 24),Đơn vị tính: VND > Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 24),Đơn vị tính: VND > Số cuối năm > Vay ngắn hạn (Thuyết minh số 24),Đơn vị tính: VND > Số đầu năm > Vay ngắn hạn (Thuyết minh số 24),numeric__Đơn vị tính: VND > Mối quan hệ > Vay ngắn hạn (Thuyết minh số 24),numeric__Đơn vị tính: VND > Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 24),numeric__Đơn vị tính: VND > Số cuối năm > Vay ngắn hạn (Thuyết minh số 24),numeric__Đơn vị tính: VND > Số đầu năm > Vay ngắn hạn (Thuyết minh số 24)
Lâm Hoàng Đăng,Lâm Hoàng Đăng,Lâm Hoàng Đăng,Phó Tổng giám đốc,Vay ngắn hạn (*),4.492.437.500,-,,,4492437500.0,
Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Thành viên HĐQT kiểm Phó Tổng giám đốc,Vay ngắn hạn,-,7.040.000.000,,,,7040000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,4.492.437.500,7.040.000.000,,,4492437500.0,7040000000.0
