row_label_raw,row_label_full,col_0,Số cuối năm(VND),Kỳ hạn trả gốc và lãi,Lãi suất(%/năm),Hình thức đảmbảo,numeric__Số cuối năm(VND),numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất(%/năm),numeric__Hình thức đảmbảo
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty Cổ phần Tư vấn Đầu tưXây dựng Bắc Ái,Ngắn hạn > Công ty Cổ phần Tư vấn Đầu tưXây dựng Bắc Ái,Công ty Cổ phần Tư vấn Đầu tưXây dựng Bắc Ái,28.900.000.000,Gốc và lãi vay đảo hạn vào tháng 12 năm 2026.,"9,3%",Tín chấp,28900000000.0,,0.09300000000000001,
Vay cá nhân ngắn hạn,Ngắn hạn > Vay cá nhân ngắn hạn,Vay cá nhân ngắn hạn,258.432.933.908,Kỳ hạn trả gốc và lãi là 12 tháng theo từng hợp đồng. Hợpdồng cuối cùng đáo hạn tháng 8 năm 2026.,12%,Tín chấp,258432933908.0,,0.12,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,287.332.933.908,,,,287332933908.0,,,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Vay cá nhân dài hạn,Dài hạn > Vay cá nhân dài hạn,Vay cá nhân dài hạn,62.379.903.915,Kỳ hạn trả gốc và lãi từ 24 – 60 tháng tháng theo từng hợpđồng. Hợp đồng cuối cùng đáo hạn tháng 6 năm 2027.,10% - 12%,Tín chấp,62379903915.0,,,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,62.379.903.915,,,,62379903915.0,,,
Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,Dài hạn > Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,25.027.187.50037.352.716.415,,,,2.502718750037353e+21,,,
