row_label_raw,row_label_full,Ông Tô Như Toàn,Chủ tịch,numeric__Chủ tịch
Ông Tô Như Thắng,Ông Tô Như Thắng,Ông Tô Như Thắng,Phó chủ tịch,
Bà Nguyễn Diệu Tú,Bà Nguyễn Diệu Tú,Bà Nguyễn Diệu Tú,Phó chủ tịch,
Ông Triệu Hữu Đại,Ông Triệu Hữu Đại,Ông Triệu Hữu Đại,Phó chủ tịch,
Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Thành viên,
Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Thành viên,
Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Thành viên độc lập,
Ông Nguyễn Thái Sơn,Ông Nguyễn Thái Sơn,Ông Nguyễn Thái Sơn,Thành viên độc lập,
