row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí lãi vay phải trả,Ngắn hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,137.394.222.957,143.392.666.347,137394222957.0,143392666347.0
Trích trước chi phí phát triển các dự án bất động sản,Ngắn hạn > Trích trước chi phí phát triển các dự án bất động sản,Trích trước chi phí phát triển các dự án bất động sản,209.108.970.598,142.634.148.866,209108970598.0,142634148866.0
Trích trước chi phí cho hoạt động của Khách sạn,Trích trước chi phí cho hoạt động của Khách sạn,Trích trước chi phí cho hoạt động của Khách sạn,Trích trước chi phí cho hoạt động của Khách sạn,Trích trước chi phí cho hoạt động của Khách sạn,,
Oakwood Residence Hà Nội,Trích trước chi phí cho hoạt động của Khách sạn > Oakwood Residence Hà Nội,Oakwood Residence Hà Nội,14.840.010.983,13.592.411.631,14840010983.0,13592411631.0
Chi phí hỗ trợ lãi suất,Trích trước chi phí cho hoạt động của Khách sạn > Chi phí hỗ trợ lãi suất,Chi phí hỗ trợ lãi suất,18.483.277.565,-,18483277565.0,
Chi phí trích trước khác,Trích trước chi phí cho hoạt động của Khách sạn > Chi phí trích trước khác,Chi phí trích trước khác,13.483.403.242,37.412.786.960,13483403242.0,37412786960.0
TỔNG CỘNG,Trích trước chi phí cho hoạt động của Khách sạn > TỔNG CỘNG,TỔNG CỘNG,393.309.885.345,337.032.013.804,393309885345.0,337032013804.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả cho bên liên quan(Thuyết minh số 34),Trong đó: > Chi phí phải trả cho bên liên quan(Thuyết minh số 34),Chi phí phải trả cho bên liên quan(Thuyết minh số 34),675.328.028,90.144.484,675328028.0,90144484.0
Chi phí phải trả các bên khác,Trong đó: > Chi phí phải trả các bên khác,Chi phí phải trả các bên khác,392.634.557.317,336.941.869.320,392634557317.0,336941869320.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay phải trả,Dài hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,387.558.820.309,280.567.446.954,387558820309.0,280567446954.0
Trích trước chi phí miễn phí quản lý cho khách hàng,Dài hạn > Trích trước chi phí miễn phí quản lý cho khách hàng,Trích trước chi phí miễn phí quản lý cho khách hàng,621.142.392,6.289.052.361,621142392.0,6289052361.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,388.179.962.701,286.856.499.315,388179962701.0,286856499315.0
