row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),5.140.367.799.177,(12.982.661.868),2.868.943.581.351,(12.982.661.868),5140367799177.0,-12982661868.0,2868943581351.0,-12982661868.0
Thành phẩm (**),Thành phẩm (**),Thành phẩm (**),105.263.510.425,-,78.387.711.545,-,105263510425.0,,78387711545.0,
Hàng hóa,Hàng hóa,Hàng hóa,11.098.777.457,-,11.181.461.575,-,11098777457.0,,11181461575.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.277.608.911,-,1.029.204.850,-,1277608911.0,,1029204850.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,310.836.408,-,166.311.975,-,310836408.0,,166311975.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.258.318.532.378,(12.982.661.868),2.959.708.271.296,(12.982.661.868),5258318532378.0,-12982661868.0,2959708271296.0,-12982661868.0
