row_label_raw,row_label_full,Tên đơn vị,Địa chỉ,Hoạt động chính,Số cuối năm > Tỷ lệ lợi ích(%),Số cuối năm > Tỷ lệ biểu quyết(%),Số đầu năm > Tỷ lệ lợi ích(%),Số đầu năm > Tỷ lệ biểu quyết(%),numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Số cuối năm > Tỷ lệ lợi ích(%),numeric__Số cuối năm > Tỷ lệ biểu quyết(%),numeric__Số đầu năm > Tỷ lệ lợi ích(%),numeric__Số đầu năm > Tỷ lệ biểu quyết(%)
Công ty Cổ phần Dịch vụ Thương mại Bắt động sản Tân Phú (*),Công ty Cổ phần Dịch vụ Thương mại Bắt động sản Tân Phú (*),Công ty Cổ phần Dịch vụ Thương mại Bắt động sản Tân Phú (*),"Số nhà 36, đường 31A, Phường Bình Trưng, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"99,05","50,00",-,-,,,99.05,50.0,,
Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,"Số 373, đường Nguyễn Độ, Phường Cái Khế, Thành phố Cần Thơ",Kinh doanh bất động sản,"49,00","49,00","49,00","49,00",,,49.0,49.0,49.0,49.0
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,"Tầng 1-4, tỏa V1 The Van Phu Victoria, CT9, Khu đỏ thị Văn Phú, Phường Kiến Hưng, Thành phố Hà Nội",Kinh doanh bất động sản,"35,00","35,00","35,00","35,00",,,35.0,35.0,35.0,35.0
Công ty Cổ phần Đầu tư Phong Phú (*),Công ty Cổ phần Đầu tư Phong Phú (*),Công ty Cổ phần Đầu tư Phong Phú (*),"Số 36 đường 31A, Phường An Khánh, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,-,-,"30,00","30,00",,,,,30.0,30.0
Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang (*),Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang (*),Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang (*),"Số 14, lỗ B1, Khu đỏ thị mới Nam Từ Sơn, Phường Từ Sơn, Tĩnh Bắc Ninh",Xây dựng và thu phí đường bộ,-,-,"33,00","33,00",,,,,33.0,33.0
Công ty Cổ phần Đầu tư Hà Phú Riverland (*),Công ty Cổ phần Đầu tư Hà Phú Riverland (*),Công ty Cổ phần Đầu tư Hà Phú Riverland (*),"Số 232/1, đường Trường Định, KP2, Phường Tam Hiệp, Tĩnh Đồng Nai",Kinh doanh bất động sản,-,-,"30,00","30,00",,,,,30.0,30.0
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,"Tầng 4, 104 Thái Thịnh, Phường Đồng Đa, Thành phố Hà Nội",Xây dựng công trình kỹ thuật dân dụng,"51,07","50,00","51,07","50,00",,,51.07,50.0,51.07,50.0
Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,"Số 83, đường Hào Nam, Phường Đồng Đa, Thành phố Hà Nội",Xây dựng và in ấn,"46,77","46,77","46,77","46,77",,,46.77,46.77,46.77,46.77
Công ty Cổ phần Logistics LSH,Công ty Cổ phần Logistics LSH,Công ty Cổ phần Logistics LSH,"Lỗ B17, đường Ngọc Hân Công Chúa, Phường Võ Cường, Thành phố Bắc Ninh",Kho bãi và lưu giữ hàng hóa,"30,00","30,00","34,00","34,00",,,30.0,30.0,34.0,34.0
Công ty TNHH Phát triển Đô thị HNB,Công ty TNHH Phát triển Đô thị HNB,Công ty TNHH Phát triển Đô thị HNB,"Lỗ 9+10 Dự án Hải An II, đường Cả Trọng, Phường Bắc Giang, Thành phố Bắc Ninh",Kinh doanh bất động sản,"50,00","50,00","50,00","50,00",,,50.0,50.0,50.0,50.0
Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,"Số 104 Thái Thịnh, Phường Đồng Đa, Thành phố Hà Nội","Tư vấn, môi giới, đầu giá bất động sản","22,50","22,50",-,-,,,22.5,22.5,,
