row_label_raw,row_label_full,Các bên liên quan > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Đơn vị tính: VND > Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Đơn vị tính: VND > Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Đơn vị tính: VND > Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),numeric__Đơn vị tính: VND > Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2)
Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Thành viên HĐQT kiểm Phó Tổng giám đốc,Trả trước tiền mua hàng,16.964.432.203,-,,,16964432203.0,
Ông Lâm Hoàng Đăng,Ông Lâm Hoàng Đăng,Ông Lâm Hoàng Đăng,Phó Tổng Giám đốc,Trả trước tiền mua hàng,12.167.422.143,-,,,12167422143.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,29.131.854.346,-,,,29131854346.0,
Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),,,,
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Phải trả ngắn hạn khác (Thuyết minh số 23) > Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty liên kết,Nhận góp vốn hợp tác đầu tư (i),7.000.000.000,7.762.300.021,,,7000000000.0,7762300021.0
Hội đồng Quản trị và Ban kiểm soát,Phải trả ngắn hạn khác (Thuyết minh số 23) > Hội đồng Quản trị và Ban kiểm soát,Hội đồng Quản trị và Ban kiểm soát,,Phải trả thủ lao,216.000.000,216.000.000,,,216000000.0,216000000.0
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 23) > TỔNG CỘNG,TỔNG CỘNG,,,7.216.000.000,7.978.300.021,,,7216000000.0,7978300021.0
