row_label_raw,row_label_full,Bên đi vay,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Các khoản cho vay cá nhân (*),Các khoản cho vay cá nhân (*),Các khoản cho vay cá nhân (*),124.563.615.000,126.300.000.000,124563615000.0,126300000000.0
Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,-,276.900.000.000,,276900000000.0
Công ty TNHH Đầu tư Bất động sản Hưng Phú,Công ty TNHH Đầu tư Bất động sản Hưng Phú,Công ty TNHH Đầu tư Bất động sản Hưng Phú,-,56.000.000.000,,56000000000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,9.576.736.121,63.536.736.121,9576736121.0,63536736121.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,134.140.351.121,522.736.736.121,134140351121.0,522736736121.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu về cho vay ngắn hạn các bên liên quan (Thuyết minh số 34),Trong đó: > Phải thu về cho vay ngắn hạn các bên liên quan (Thuyết minh số 34),Phải thu về cho vay ngắn hạn các bên liên quan (Thuyết minh số 34),1.735.000.000,1.735.000.000,1735000000.0,1735000000.0
Phải thu cho vay ngắn hạn các bên khác,Trong đó: > Phải thu cho vay ngắn hạn các bên khác,Phải thu cho vay ngắn hạn các bên khác,132.405.351.121,521.001.736.121,132405351121.0,521001736121.0
