row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thuế TNDN tạm nộp,Tài sản thuế thu nhập hoãn lại > Thuế TNDN tạm nộp,Thuế TNDN tạm nộp,11.815.058.594,903.092.469,10.911.966.125,(1.909.809.022),11815058594.0,903092469.0,10911966125.0,-1909809022.0
Dự phòng hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,68.131.565.136,68.131.565.136,-,13.963.302.453,68131565136.0,68131565136.0,,13963302453.0
Chi phí lãi vay vốn hóa theo biển bản thanh tra thuế,Tài sản thuế thu nhập hoãn lại > Chi phí lãi vay vốn hóa theo biển bản thanh tra thuế,Chi phí lãi vay vốn hóa theo biển bản thanh tra thuế,13.823.749.612,14.422.892.501,(599.142.889),14.422.892.501,13823749612.0,14422892501.0,-599142889.0,14422892501.0
Chi phí tư vấn,Tài sản thuế thu nhập hoãn lại > Chi phí tư vấn,Chi phí tư vấn,2.158.751.911,4.754.712.935,(2.595.961.024),(2.564.849.913),2158751911.0,4754712935.0,-2595961024.0,-2564849913.0
"Chi phí phân bổ công cụ, dụng cụ","Tài sản thuế thu nhập hoãn lại > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",237.028.010,280.907.490,(43.879.480),(43.879.480),237028010.0,280907490.0,-43879480.0,-43879480.0
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,7.366.945.070,26.492.551.378,(19.125.606.308),(157.318.070),7366945070.0,26492551378.0,-19125606308.0,-157318070.0
,,,103.533.098.333,114.985.721.909,,,103533098333.0,114985721909.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
"Chi phí phân bổ công cụ, dụng cụ","Thuế thu nhập hoãn lại phải trả > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",(3.423.629.077),(6.175.062.259),2.751.433.182,4.090.923.240,-3423629077.0,-6175062259.0,2751433182.0,4090923240.0
Chi phí lãi trái phiếu chuyển đổi,Thuế thu nhập hoãn lại phải trả > Chi phí lãi trái phiếu chuyển đổi,Chi phí lãi trái phiếu chuyển đổi,-,-,-,5.844.471.989,,,,5844471989.0
Chi phí lãi vay vốn hóa,Thuế thu nhập hoãn lại phải trả > Chi phí lãi vay vốn hóa,Chi phí lãi vay vốn hóa,(34.595.811.027),(15.328.109.753),(19.267.701.274),(11.652.599.464),-34595811027.0,-15328109753.0,-19267701274.0,-11652599464.0
,,,(38.019.440.104),(21.503.172.012),,,-38019440104.0,-21503172012.0,,
Tài sản thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại phải trả > Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,65.513.658.229,93.482.549.897,,,65513658229.0,93482549897.0,,
(Chi phí)/thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > (Chi phí)/thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh hợp nhất,(Chi phí)/thu nhập thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh hợp nhất,,,(27.968.891.668),21.993.134.234,,,-27968891668.0,21993134234.0
