row_label_raw,row_label_full,Đơn vị tính: VND > Các bên liên quan > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Mối quan hệ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Mối quan hệ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1)
Triệu Hữu Đại,Triệu Hữu Đại,Triệu Hữu Đại,Phó Chủ tịch HĐQT/Phó Chủ tịch UBKT,Bán hàng,15.286.440.000,-,,,15286440000.0,
Công ty cổ phần Văn Phú - B&C,Công ty cổ phần Văn Phú - B&C,Công ty cổ phần Văn Phú - B&C,"Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Cung cấp dịch vụ,6.026.828.456,878.218.802,,,6026828456.0,878218802.0
Vũ Thanh Tuấn,Vũ Thanh Tuấn,Vũ Thanh Tuấn,Phó Tổng Giám đốc,Bán hàng,3.125.154.250,-,,,3125154250.0,
Nguyễn Thái Sơn,Nguyễn Thái Sơn,Nguyễn Thái Sơn,Thành viên độc lập HĐQT,Bán hàng,1.220.390.168,-,,,1220390168.0,
Lâm Hoàng Đăng,Lâm Hoàng Đăng,Lâm Hoàng Đăng,Phó Tổng Giám đốc,Bán hàng,643.857.922,-,,,643857922.0,
Trần Thu Thủy,Trần Thu Thủy,Trần Thu Thủy,Thành viên HĐQT của Công ty con,Bán hàng,394.120.800,-,,,394120800.0,
Vũ Đức Hoàng,Vũ Đức Hoàng,Vũ Đức Hoàng,Thành viên HĐQT của Công ty con,Bán hàng,324.011.000,-,,,324011000.0,
Tô Thị Huyền Nga,Tô Thị Huyền Nga,Tô Thị Huyền Nga,Chị gái của ông Tô Như Thắng,Bán hàng,308.508.500,-,,,308508500.0,
Tô Thị Mai Phương,Tô Thị Mai Phương,Tô Thị Mai Phương,Chị gái của ông Tô Như Thắng,Bán hàng,308.823.500,-,,,308823500.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,27.638.134.596,878.218.802,,,27638134596.0,878218802.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,
Công ty TNHH Phát triển đô thị HNB,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty TNHH Phát triển đô thị HNB,Công ty TNHH Phát triển đô thị HNB,Công ty liên kết,Cho vay,1.735.000.000,1.735.000.000,,,1735000000.0,1735000000.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,,,1.735.000.000,1.735.000.000,,,1735000000.0,1735000000.0
