row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí hoa hồng môi giới,Ngắn hạn > Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,42.912.807.670,-,42912807670.0,
Chi phí bán hàng cho các dự án,Ngắn hạn > Chi phí bán hàng cho các dự án,Chi phí bán hàng cho các dự án,11.131.603.579,973.276.920,11131603579.0,973276920.0
Chi phí hỗ trợ lãi suất,Ngắn hạn > Chi phí hỗ trợ lãi suất,Chi phí hỗ trợ lãi suất,8.470.442.801,-,8470442801.0,
Chi phí bảo hiểm,Ngắn hạn > Chi phí bảo hiểm,Chi phí bảo hiểm,3.266.885.550,354.847.773,3266885550.0,354847773.0
"Chi phí truyền thông, quảng cáo","Ngắn hạn > Chi phí truyền thông, quảng cáo","Chi phí truyền thông, quảng cáo",2.985.039.795,2.596.179.960,2985039795.0,2596179960.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,3.334.562.367,333.411.764,3334562367.0,333411764.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,72.101.341.762,4.257.716.417,72101341762.0,4257716417.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Công cụ, dụng cụ phục vụ Khách sạn","Công cụ, dụng cụ phục vụ Khách sạn","Công cụ, dụng cụ phục vụ Khách sạn","Công cụ, dụng cụ phục vụ Khách sạn","Công cụ, dụng cụ phục vụ Khách sạn",,
Oakwood Residence Hà Nội (i),"Công cụ, dụng cụ phục vụ Khách sạn > Oakwood Residence Hà Nội (i)",Oakwood Residence Hà Nội (i),17.414.115.371,31.418.145.675,17414115371.0,31418145675.0
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ phục vụ Khách sạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",2.230.661.111,689.110.008,2230661111.0,689110008.0
Chi phí cải tạo sửa chữa văn phòng,"Công cụ, dụng cụ phục vụ Khách sạn > Chi phí cải tạo sửa chữa văn phòng",Chi phí cải tạo sửa chữa văn phòng,1.029.831.312,862.956.456,1029831312.0,862956456.0
Chi phí hoa hồng môi giới,"Công cụ, dụng cụ phục vụ Khách sạn > Chi phí hoa hồng môi giới",Chi phí hoa hồng môi giới,915.517.748,-,915517748.0,
Chi phí trả trước dài hạn khác,"Công cụ, dụng cụ phục vụ Khách sạn > Chi phí trả trước dài hạn khác",Chi phí trả trước dài hạn khác,4.475.236.186,5.371.700.018,4475236186.0,5371700018.0
TỔNG CỘNG,"Công cụ, dụng cụ phục vụ Khách sạn > TỔNG CỘNG",TỔNG CỘNG,26.065.361.728,38.341.912.157,26065361728.0,38341912157.0
