row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2024,Số phải thu trong năm,Số đã bù trừ trong năm,Tăng/(giảm) do thoái vốn/mua công ty con,Đơn vị tính: VNDNgày 31 tháng 12năm 2025,numeric__Ngày 31 tháng 12năm 2024,numeric__Số phải thu trong năm,numeric__Số đã bù trừ trong năm,numeric__Tăng/(giảm) do thoái vốn/mua công ty con,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2025
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,
Thuế giá trị gia tăng được khấu trừ,Phải thu > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,22.771.690.606,130.625.782.487,(122.160.345.423),2.411.434.386,33.648.562.056,22771690606.0,130625782487.0,-122160345423.0,2411434386.0,33648562056.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,270.089.574,-,(270.089.574),-,-,270089574.0,,-270089574.0,,
Tiền sử dụng đất (*),Phải thu > Tiền sử dụng đất (*),Tiền sử dụng đất (*),-,255.000.000.000,-,-,255.000.000.000,,255000000000.0,,,255000000000.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,550.535.937,451.205.857,(12.958.956),-,988.782.838,550535937.0,451205857.0,-12958956.0,,988782838.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,23.592.316.117,386.076.988.344,(122.443.393.953),2.411.434.386,289.637.344.894,23592316117.0,386076988344.0,-122443393953.0,2411434386.0,289637344894.0
,,,Ngày 31 tháng 12năm 2024,Số phải nộp trong năm,Số đã nộp trong năm,Tăng/(giảm) do thoái vốn/mua công ty con,Ngày 31 tháng 12năm 2025,,,,,
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,28.479.362.822,99.536.649.863,(40.005.602.946),(741.585.901),87.268.823.838,28479362822.0,99536649863.0,-40005602946.0,-741585901.0,87268823838.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.155.992.100,15.682.826.966,(15.600.170.346),4.297.441.817,6.536.090.537,2155992100.0,15682826966.0,-15600170346.0,4297441817.0,6536090537.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,29.790.208.493,118.358.996.652,(96.234.511.463),(3.135.154.978),48.779.538.704,29790208493.0,118358996652.0,-96234511463.0,-3135154978.0,48779538704.0
Tiền sử dụng đất,Phải nộp > Tiền sử dụng đất,Tiền sử dụng đất,-,936.120.014.111,(936.120.014.111),-,-,,936120014111.0,-936120014111.0,,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,4.911.385.670,(4.920.825.671),80.940.001,71.500.000,,4911385670.0,-4920825671.0,80940001.0,71500000.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,60.425.563.415,1.174.609.873.262,(1.092.881.124.537),501.640.939,142.655.953.079,60425563415.0,1174609873262.0,-1092881124537.0,501640939.0,142655953079.0
