row_label_raw,row_label_full,Các bên liên quan > Công ty cổ phần Văn Phú - B&C,"Mối quan hệ > Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Nội dung nghiệp vụ > Thu tiền cung cấp dịch vụDoanh thu cho thuê mất bằngMua dịch vụCổ tức được chia,Năm nay > 10.326.323.6401.718.788.000831.664.348140.000.000,Năm trước > -,"numeric__Mối quan hệ > Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",numeric__Nội dung nghiệp vụ > Thu tiền cung cấp dịch vụDoanh thu cho thuê mất bằngMua dịch vụCổ tức được chia,numeric__Năm nay > 10.326.323.6401.718.788.000831.664.348140.000.000,numeric__Năm trước > -
Công ty Cổ phần Đầu tư Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư Phát triển Thương mại Văn Phú,Công ty liên kết,Cổ tức được chiaCán trừ công nợ,4.200.000.000700.000.000,700.000.000700.000.000,,,4.2000000007e+18,7.000000007e+17
Công ty Cổ phần Đầu tư Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư Phát triển Thương mại Văn Phú,Công ty liên kết,Cổ tức được chiaCán trừ công nợ,4.200.000.000700.000.000,700.000.000700.000.000,,,4.2000000007e+18,7.000000007e+17
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty liên kết đến ngày 24 tháng 12 năm 2025,Cổ tức được chia và nhận bằng tiền,44.550.000.000,-,,,44550000000.0,
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty liên kết đến ngày 24 tháng 12 năm 2025,Cổ tức được chia và nhận bằng tiền,44.550.000.000,-,,,44550000000.0,
Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty liên kết,Chuyển tiền hợp tác đầu tưThu hồi tiền hợp tác đầu tưĐặt cọc hợp tác đầu tưThu nhập khác từ hợp đồng hợp tác đầu tư,110.000.000.000110.000.000.00030.000.000.0008.800.000.000,-,,,1.1000000000011e+44,
Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty liên kết,Chuyển tiền hợp tác đầu tưThu hồi tiền hợp tác đầu tưĐặt cọc hợp tác đầu tưThu nhập khác từ hợp đồng hợp tác đầu tư,110.000.000.000110.000.000.00030.000.000.0008.800.000.000,-,,,1.1000000000011e+44,
Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty liên kết,Chuyển tiền hợp tác đầu tưThu hồi tiền hợp tác đầu tưĐặt cọc hợp tác đầu tưThu nhập khác từ hợp đồng hợp tác đầu tư,110.000.000.000110.000.000.00030.000.000.0008.800.000.000,-,,,1.1000000000011e+44,
Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty TNHH Đầu tư phát triển đô thị Cần Thơ,Công ty liên kết,Chuyển tiền hợp tác đầu tưThu hồi tiền hợp tác đầu tưĐặt cọc hợp tác đầu tưThu nhập khác từ hợp đồng hợp tác đầu tư,110.000.000.000110.000.000.00030.000.000.0008.800.000.000,-,,,1.1000000000011e+44,
Công ty TNHH Phát triển đô thị HNB,Công ty TNHH Phát triển đô thị HNB,Công ty TNHH Phát triển đô thị HNB,Công ty liên kết,Góp vốn vào công ty liên kếtThu nhập lãi cho vay,255.555.550.285173.500.000,-,,,2.555555502851735e+20,
Công ty TNHH Phát triển đô thị HNB,Công ty TNHH Phát triển đô thị HNB,Công ty TNHH Phát triển đô thị HNB,Công ty liên kết,Góp vốn vào công ty liên kếtThu nhập lãi cho vay,255.555.550.285173.500.000,-,,,2.555555502851735e+20,
Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Thành viên HĐQT kiểmPhó Tổng giám đốc,Đi vayBù trừ công nợThu tiền bán hàngTrà trước tiền mua bất động sảnDoanh thu bán hàng,-7.040.000.00015.796.253.20010.964.079.71914.378.304.595,7.040.000.000,,,-7.040000000157962e+42,7040000000.0
Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Thành viên HĐQT kiểmPhó Tổng giám đốc,Đi vayBù trừ công nợThu tiền bán hàngTrà trước tiền mua bất động sảnDoanh thu bán hàng,-7.040.000.00015.796.253.20010.964.079.71914.378.304.595,-,,,-7.040000000157962e+42,
Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Thành viên HĐQT kiểmPhó Tổng giám đốc,Đi vayBù trừ công nợThu tiền bán hàngTrà trước tiền mua bất động sảnDoanh thu bán hàng,-7.040.000.00015.796.253.20010.964.079.71914.378.304.595,-,,,-7.040000000157962e+42,
Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Thành viên HĐQT kiểmPhó Tổng giám đốc,Đi vayBù trừ công nợThu tiền bán hàngTrà trước tiền mua bất động sảnDoanh thu bán hàng,-7.040.000.00015.796.253.20010.964.079.71914.378.304.595,-,,,-7.040000000157962e+42,
Phạm Việt Anh,Phạm Việt Anh,Phạm Việt Anh,Lãnh đạo chủ chốt của công ty con,Mua cổ phần và thanh toán tiền mua cổ phầnCông ty con chi tạm ứng,487.500.000.000256.000.000,-,,,4.87500000000256e+20,
Phạm Việt Anh,Phạm Việt Anh,Phạm Việt Anh,Lãnh đạo chủ chốt của công ty con,Mua cổ phần và thanh toán tiền mua cổ phầnCông ty con chi tạm ứng,487.500.000.000256.000.000,-,,,4.87500000000256e+20,
Lâm Hoàng Đăng,Lâm Hoàng Đăng,Lâm Hoàng Đăng,Phó Tổng giám đốc,Thu tiền bán thành phẩmTrà trước tiền mua bất động sảnDoanh thu bán hàngĐi vayLãi vay phải trảCho thuê tài sản,12.233.300.51612.850.924.60012.084.326.2174.492.437.500171.328.02869.300.000,-,,,1.223330051612851e+59,
Lâm Hoàng Đăng,Lâm Hoàng Đăng,Lâm Hoàng Đăng,Phó Tổng giám đốc,Thu tiền bán thành phẩmTrà trước tiền mua bất động sảnDoanh thu bán hàngĐi vayLãi vay phải trảCho thuê tài sản,12.233.300.51612.850.924.60012.084.326.2174.492.437.500171.328.02869.300.000,-,,,1.223330051612851e+59,
Lâm Hoàng Đăng,Lâm Hoàng Đăng,Lâm Hoàng Đăng,Phó Tổng giám đốc,Thu tiền bán thành phẩmTrà trước tiền mua bất động sảnDoanh thu bán hàngĐi vayLãi vay phải trảCho thuê tài sản,12.233.300.51612.850.924.60012.084.326.2174.492.437.500171.328.02869.300.000,-,,,1.223330051612851e+59,
Lâm Hoàng Đăng,Lâm Hoàng Đăng,Lâm Hoàng Đăng,Phó Tổng giám đốc,Thu tiền bán thành phẩmTrà trước tiền mua bất động sảnDoanh thu bán hàngĐi vayLãi vay phải trảCho thuê tài sản,12.233.300.51612.850.924.60012.084.326.2174.492.437.500171.328.02869.300.000,-,,,1.223330051612851e+59,
