row_label_raw,row_label_full,Lãi từ chuyển nhượng khoản đầu tư (Thuyết minh số 4),Năm nay > 60.814.414.791,Đơn vị tính: VND > Năm trước > 174.184.283.397,numeric__Năm nay > 60.814.414.791,numeric__Đơn vị tính: VND > Năm trước > 174.184.283.397
Lợi nhuận được chia từ hợp đồng hợp tác đầu tư,Lợi nhuận được chia từ hợp đồng hợp tác đầu tư,Lợi nhuận được chia từ hợp đồng hợp tác đầu tư,61.109.603.789,72.692.219.178,61109603789.0,72692219178.0
"Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",72.741.445.249,64.898.028.335,72741445249.0,64898028335.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,194.665.463.829,311.774.530.910,194665463829.0,311774530910.0
