row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2024 > Giả trị,Ngày 31 tháng 12 năm 2024 > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giám,Số phát sinh trong năm > Tăng do mua công ty con,Ngày 31 tháng 12 năm 2025 > Giá trị,Ngày 31 tháng 12 năm 2025 > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2024 > Giả trị,numeric__Ngày 31 tháng 12 năm 2024 > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giám,numeric__Số phát sinh trong năm > Tăng do mua công ty con,numeric__Ngày 31 tháng 12 năm 2025 > Giá trị,numeric__Ngày 31 tháng 12 năm 2025 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,24.1,183.217.461.633,183.217.461.633,124.652.082.235,(183.217.461.633),-,124.652.082.235,124.652.082.235,241.0,183217461633.0,183217461633.0,124652082235.0,-183217461633.0,,124652082235.0,124652082235.0
Vay ngân hàng dài hạn đến hạn trả,Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,24.1,678.293.091.624,678.293.091.624,1.442.203.542.030,(1.632.508.587.953),-,487.988.045.701,487.988.045.701,241.0,678293091624.0,678293091624.0,1442203542030.0,-1632508587953.0,,487988045701.0,487988045701.0
Vay đổi tượng khác ngắn hạn,Vay ngắn hạn > Vay đổi tượng khác ngắn hạn,Vay đổi tượng khác ngắn hạn,24.2,110.157.499.988,110.157.499.988,451.334.507.162,(274.159.073.242),-,287.332.933.908,287.332.933.908,242.0,110157499988.0,110157499988.0,451334507162.0,-274159073242.0,,287332933908.0,287332933908.0
Vay đổi tượng khác đến hạn trả,Vay ngắn hạn > Vay đổi tượng khác đến hạn trả,Vay đổi tượng khác đến hạn trả,24.2,33.150.000.000,33.150.000.000,27.915.000.000,(36.037.812.500),-,25.027.187.500,25.027.187.500,242.0,33150000000.0,33150000000.0,27915000000.0,-36037812500.0,,25027187500.0,25027187500.0
Trái phiếu phát hành dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu phát hành dài hạn đến hạn trả,Trái phiếu phát hành dài hạn đến hạn trả,24.3,240.332.952.558,240.332.952.558,149.353.173.129,(240.800.000.000),-,148.886.125.687,148.886.125.687,243.0,240332952558.0,240332952558.0,149353173129.0,-240800000000.0,,148886125687.0,148886125687.0
Vay ngắn hạn bên liên quan,Vay ngắn hạn > Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,34,7.040.000.000,7.040.000.000,154.492.437.500,(157.040.000.000),-,4.492.437.500,4.492.437.500,34.0,7040000000.0,7040000000.0,154492437500.0,-157040000000.0,,4492437500.0,4492437500.0
,,,,1.252.191.005.803,1.252.191.005.803,2.349.950.742.056,(2.523.762.935.328),-,1.078.378.812.531,1.078.378.812.531,,1252191005803.0,1252191005803.0,2349950742056.0,-2523762935328.0,,1078378812531.0,1078378812531.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,24.1,2.232.000.548.978,2.232.000.548.978,1.133.459.256.735,(1.504.151.006.943),881.703.443.156,2.743.012.241.926,2.743.012.241.926,241.0,2232000548978.0,2232000548978.0,1133459256735.0,-1504151006943.0,881703443156.0,2743012241926.0,2743012241926.0
Vay dài hạn đổi tượng khác,Vay dài hạn > Vay dài hạn đổi tượng khác,Vay dài hạn đổi tượng khác,24.2,28.915.000.000,28.915.000.000,57.229.903.915,(48.792.187.500),-,37.352.716.415,37.352.716.415,242.0,28915000000.0,28915000000.0,57229903915.0,-48792187500.0,,37352716415.0,37352716415.0
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,24.3,1.035.716.610.655,1.035.716.610.655,1.564.425.853.264,(169.758.484.754),-,2.430.383.979.165,2.430.383.979.165,243.0,1035716610655.0,1035716610655.0,1564425853264.0,-169758484754.0,,2430383979165.0,2430383979165.0
,,,,3.296.632.159.633,3.296.632.159.633,2.755.115.013.914,(1.722.701.679.197),881.703.443.156,5.210.748.937.506,5.210.748.937.506,,3296632159633.0,3296632159633.0,2755115013914.0,-1722701679197.0,881703443156.0,5210748937506.0,5210748937506.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,4.548.823.165.436,4.548.823.165.436,5.105.065.755.970,(4.246.464.614.525),881.703.443.156,6.289.127.750.037,6.289.127.750.037,,4548823165436.0,4548823165436.0,5105065755970.0,-4246464614525.0,881703443156.0,6289127750037.0,6289127750037.0
