row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Thủ Thiêm,Ngày 31 tháng 12 năm2025(VND) > 625.293.391.340,Kỳ hạn trả gốc và lãi > Gốc được thanh toán 6 tháng một lần từ tháng 11 năm 2024 đến tháng 5 năm 2028. Lãi được thanh toán một lần vào thời điểm đảo hạn.,"Lãi suất(%/năm) > 8,18%",Hình thức đảmbảo > (ii),numeric__Ngày 31 tháng 12 năm2025(VND) > 625.293.391.340,numeric__Kỳ hạn trả gốc và lãi > Gốc được thanh toán 6 tháng một lần từ tháng 11 năm 2024 đến tháng 5 năm 2028. Lãi được thanh toán một lần vào thời điểm đảo hạn.,"numeric__Lãi suất(%/năm) > 8,18%",numeric__Hình thức đảmbảo > (ii)
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,170.841.000.000,,,,170841000000.0,,,
Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,420.134.758.665,Gốc được thanh toán 6 tháng một lần từ tháng 6 năm 2023 đến tháng 11 năm 2028. Lãi được thanh toán 3 tháng một lần từ tháng 3 đến tháng 12 năm 2028.,"10,95%",(ii),420134758665.0,,0.10949999999999999,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,80.356.000.000,,,,80356000000.0,,,
Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng,Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng,Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng,52.512.454.224,Gốc vay thanh toán 3 tháng một lần từ sau thời gian ăn hạn gốc tháng 10 năm 2024 tới tháng 10 năm 2026. Lãi thanh toán hàng tháng.,"9,1% - 10,52%",(iii),52512454224.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,52.512.454.224,,,,52512454224.0,,,
Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú,Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú,Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú,204.657.847.864,Gốc được thanh toán 6 tháng 1 lần kể từ tháng 4 năm 2022 đến tháng 10 năm 2036. Lãi thanh toán 3 tháng/lần.,"10,81%",(iv),204657847864.0,,0.1081,
Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,239.253.149.472,Gốc được thanh toán 3 tháng một lần từ tháng 10 năm 2026 đến tháng 12 năm 2028. Lãi được thanh toán 3 tháng một lần.,"11,8% - 12,8%",(v),239253149472.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,48.027.792.909,,,,48027792909.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,1.663.804.856.098,Gốc được thanh toán 3 tháng 1 lần từ tháng 3 năm 2025 đến tháng 12 năm 2028. Lãi được thanh toán định ký 3 tháng/lần,"10,5% - 11,6%",(vi),1663804856098.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,135.690.798.568,,,,135690798568.0,,,
Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú,Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú,Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú,25.343.829.964,Gốc được thanh toán 3 tháng 1 lần từ tháng 5 năm 2026 đến tháng 5 năm 2027. Lãi được thanh toán 3 tháng/lần.,"7,8% - 8,5%",(vii),25343829964.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,560.000.000,,,,560000000.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.231.000.287.627,,,,3231000287627.0,,,
Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,487.988.045.7012.743.012.241.926,,,,4.879880457012743e+24,,,
