row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ chuyển nhượng bất động sản,Ngắn hạn > Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,220.264.537.701,47.927.984.648,220264537701.0,47927984648.0
Phải thu từ hoạt động khác,Ngắn hạn > Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,32.353.208.081,131.505.955.759,32353208081.0,131505955759.0
- Công ty TNHH MTV Đầu tư Hùng Sơn,Ngắn hạn > - Công ty TNHH MTV Đầu tư Hùng Sơn,- Công ty TNHH MTV Đầu tư Hùng Sơn,6.340.402.732,76.250.937.921,6340402732.0,76250937921.0
- Phải thu khách hàng khác,Ngắn hạn > - Phải thu khách hàng khác,- Phải thu khách hàng khác,26.012.805.349,55.255.017.838,26012805349.0,55255017838.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,252.617.745.782,179.433.940.407,252617745782.0,179433940407.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 34),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 34),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 34),27.638.134.596,878.218.802,27638134596.0,878218802.0
Phải thu ngắn hạn từ các bên khác,Trong đó: > Phải thu ngắn hạn từ các bên khác,Phải thu ngắn hạn từ các bên khác,224.979.611.186,178.555.721.605,224979611186.0,178555721605.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Phải thu hoạt động khác từ Công ty TNHH Hồ Tây Một Thành Viên,Dải hạn > Phải thu hoạt động khác từ Công ty TNHH Hồ Tây Một Thành Viên,Phải thu hoạt động khác từ Công ty TNHH Hồ Tây Một Thành Viên,-,3.378.885.790,,3378885790.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,-,3.378.885.790,,3378885790.0
Dự phòng phải thu ngắn hạn khó đòi,Dải hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(21.718.695.257),(29.952.027.757),-21718695257.0,-29952027757.0
