row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Kinh phí bảo trì khởi sản thương mại dịch vụ và các căn hộ đã bàn giao,Ngắn hạn > Kinh phí bảo trì khởi sản thương mại dịch vụ và các căn hộ đã bàn giao,Kinh phí bảo trì khởi sản thương mại dịch vụ và các căn hộ đã bàn giao,81.587.670.663,79.952.870.793,81587670663.0,79952870793.0
Nhận đặt cọc chuyển nhượng bất động sản (i),Ngắn hạn > Nhận đặt cọc chuyển nhượng bất động sản (i),Nhận đặt cọc chuyển nhượng bất động sản (i),74.000.000.000,74.000.000.000,74000000000.0,74000000000.0
Các khoản liên quan các hợp đồng hợp tác đầu tư (ii),Ngắn hạn > Các khoản liên quan các hợp đồng hợp tác đầu tư (ii),Các khoản liên quan các hợp đồng hợp tác đầu tư (ii),20.324.000.000,7.762.300.021,20324000000.0,7762300021.0
"Nhận ký quỹ, ký cược","Ngắn hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",12.437.093.267,9.070.697.099,12437093267.0,9070697099.0
Nhận đặt cọc mua các sản phẩm bất động sản,Ngắn hạn > Nhận đặt cọc mua các sản phẩm bất động sản,Nhận đặt cọc mua các sản phẩm bất động sản,11.420.050.000,-,11420050000.0,
Phải trả về giá trị tài sản trên đất cho Dự án Grandeur Palace Giảng Võ,Ngắn hạn > Phải trả về giá trị tài sản trên đất cho Dự án Grandeur Palace Giảng Võ,Phải trả về giá trị tài sản trên đất cho Dự án Grandeur Palace Giảng Võ,1.441.328.400,43.098.104.400,1441328400.0,43098104400.0
Phải trả ngắn hạn khác,Ngắn hạn > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,19.115.076.127,16.110.160.448,19115076127.0,16110160448.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,220.325.218.457,229.994.132.761,220325218457.0,229994132761.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (Thuyết minh số 34),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 34),Phải trả các bên liên quan (Thuyết minh số 34),7.216.000.000,7.978.300.021,7216000000.0,7978300021.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,213.109.218.457,222.015.832.740,213109218457.0,222015832740.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận góp vốn hợp tác đầu tư (iii),Dài hạn > Nhận góp vốn hợp tác đầu tư (iii),Nhận góp vốn hợp tác đầu tư (iii),518.276.607.769,344.238.607.769,518276607769.0,344238607769.0
"Nhận ký quỹ, ký cược","Dài hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",4.740.297.087,5.262.928.921,4740297087.0,5262928921.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,523.016.904.856,349.501.536.690,523016904856.0,349501536690.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 34),Trong đó: > Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 34),Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 34),77.988.704.559,77.988.704.559,77988704559.0,77988704559.0
Phải trả dài hạn khác,Trong đó: > Phải trả dài hạn khác,Phải trả dài hạn khác,445.028.200.297,271.512.832.131,445028200297.0,271512832131.0
