row_label_raw,row_label_full,col_0,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần in và Văn hóa phẩm,Công ty TNHH BT Hà Đông,Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty Cổ phần Logistics LSH,Công ty TNHH Phát triển Đô thị HNB,Công ty Cổ phần Dịch vụ Thương mại Bất Đông Sản Tần Phú,Công ty Cổ phần Văn Phú B&C,Tổng cộng,numeric__Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,numeric__Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,numeric__Công ty Cổ phần in và Văn hóa phẩm,numeric__Công ty TNHH BT Hà Đông,numeric__Công ty Cổ phần Đầu tư Phong Phú,numeric__Công ty Cổ phần Đầu tư Hà Phú Riverland,numeric__Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,numeric__Công ty Cổ phần Logistics LSH,numeric__Công ty TNHH Phát triển Đô thị HNB,numeric__Công ty Cổ phần Dịch vụ Thương mại Bất Đông Sản Tần Phú,numeric__Công ty Cổ phần Văn Phú B&C,numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,,,,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,278.006.400.000,163.786.400.000,33.777.503.175,58.394.357.097,187.500.000.000,90.000.000.000,367.500.000.000,244.800.000.000,10.000.000.000,-,-,1.433.764.660.272,278006400000.0,163786400000.0,33777503175.0,58394357097.0,187500000000.0,90000000000.0,367500000000.0,244800000000.0,10000000000.0,,,1433764660272.0
- Góp vốn trong năm,Giá trị đầu tư: > - Góp vốn trong năm,- Góp vốn trong năm,-,-,-,-,-,-,-,-,255.555.550.285,1.000.000.000.000,-,1.255.555.550.285,,,,,,,,,255555550285.0,1000000000000.0,,1255555550285.0
- Thay đổi do thoại vốn một phần khoản đầu tư,Giá trị đầu tư: > - Thay đổi do thoại vốn một phần khoản đầu tư,- Thay đổi do thoại vốn một phần khoản đầu tư,-,-,-,-,-,-,-,(28.800.000.000),-,-,5.848.381.703,(22.951.618.297),,,,,,,,-28800000000.0,,,5848381703.0,-22951618297.0
- Thanh ly khoản đầu tư (*),Giá trị đầu tư: > - Thanh ly khoản đầu tư (*),- Thanh ly khoản đầu tư (*),-,(163.786.400.000),-,-,(187.500.000.000),(90.000.000.000),-,-,-,-,-,(441.286.400.000),,-163786400000.0,,,-187500000000.0,-90000000000.0,,,,,,-441286400000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,278.006.400.000,-,33.777.503.175,58.394.357.097,-,-,367.500.000.000,216.000.000.000,265.555.550.285,1.000.000.000.000,5.848.381.703,2.225.082.192.260,278006400000.0,,33777503175.0,58394357097.0,,,367500000000.0,216000000000.0,265555550285.0,1000000000000.0,5848381703.0,2225082192260.0
"Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:",,,,,,,,,,,,
Số đầu năm,"Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết: > Số đầu năm",Số đầu năm,965.944.534,153.728.724.120,(3.051.492.861),-,(3.871.123.647),(1.443.291.144),12.058.048.335,68.847.163,32.562.625,-,-,158.488.219.125,965944534.0,153728724120.0,-3051492861.0,,-3871123647.0,-1443291144.0,12058048335.0,68847163.0,32562625.0,,,158488219125.0
"- Phân lãi/lỗ) từ công ty liên doanh, liên kết","Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết: > - Phân lãi/lỗ) từ công ty liên doanh, liên kết","- Phân lãi/lỗ) từ công ty liên doanh, liên kết",212.278.267,65.785.789.754,269.254.923,(2.326.500),-,-,306.621.841,29.775.937,26.776.929,(67.673.884),5.045.812,66.565.543.079,212278267.0,65785789754.0,269254923.0,-2326500.0,,,306621841.0,29775937.0,26776929.0,-67673884.0,5045812.0,66565543079.0
- Cổ tục lợi nhuận được chia,"Phân chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết: > - Cổ tục lợi nhuận được chia",- Cổ tục lợi nhuận được chia,(4.200.000.000),(41.850.000.000),-,-,-,-,-,-,-,-,(140.000.000),(46.190.000.000),-4200000000.0,-41850000000.0,,,,,,,,,-140000000.0,-46190000000.0
