row_label_raw,row_label_full,Đơn vị tính: VND > Các bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 9),Đơn vị tính: VND > Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 9),Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 9),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 9),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 9),numeric__Đơn vị tính: VND > Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 9),numeric__Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 9),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 9),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 9)
Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty liên kết,Đặt cọc hợp tác đầu tư,30.000.000.000,-,,,30000000000.0,
Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty liên kết,Phải thu khác từ hợp đồng hợp tác đầu tư,8.800.000.000,-,,,8800000000.0,
Ông Nguyễn Thế Vinh,Ông Nguyễn Thế Vinh,Ông Nguyễn Thế Vinh,Thành viên HĐQT/ Tổng giám đốc của công ty con,Công ty con tạm ứng,15.026.500.000,1.370.000.000,,,15026500000.0,1370000000.0
Ông Trần Đức Thắng,Ông Trần Đức Thắng,Ông Trần Đức Thắng,Thành viên HĐQT của công ty con,Công ty con tạm ứng,11.984.316.380,11.984.316.380,,,11984316380.0,11984316380.0
Công ty TNHH Phát triển đô thị HNB,Công ty TNHH Phát triển đô thị HNB,Công ty TNHH Phát triển đô thị HNB,Công ty liên kết,Lãi dự thu,472.882.191,299.382.191,,,472882191.0,299382191.0
Công ty cổ phần Văn Phú - B&C,Công ty cổ phần Văn Phú - B&C,Công ty cổ phần Văn Phú - B&C,"Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Phải thu cung cấp dịch vụ,453.469.650,-,,,453469650.0,
Ông Phạm Việt Anh,Ông Phạm Việt Anh,Ông Phạm Việt Anh,Lãnh đạo chủ chốt của công ty con,Công ty con tạm ứng,256.000.000,-,,,256000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,66.993.168.221,13.653.698.571,,,66993168221.0,13653698571.0
Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),Phải thu dài hạn khác(Thuyết minh số 9),,,,
Công ty Cổ phần Đầu tư Phong Phú,Phải thu dài hạn khác(Thuyết minh số 9) > Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Phong Phú,Công ty liên kết đến ngày 15 tháng 1 năm 2025,Đặt cọc hợp tác đầu tư,-,452.617.690.000,,,,452617690000.0
TỔNG CỘNG,Phải thu dài hạn khác(Thuyết minh số 9) > TỔNG CỘNG,TỔNG CỘNG,,,-,452.617.690.000,,,,452617690000.0
Phải trả người bán ngắn hạn(Thuyết minh số 19),Phải trả người bán ngắn hạn(Thuyết minh số 19),Phải trả người bán ngắn hạn(Thuyết minh số 19),Phải trả người bán ngắn hạn(Thuyết minh số 19),Phải trả người bán ngắn hạn(Thuyết minh số 19),Phải trả người bán ngắn hạn(Thuyết minh số 19),Phải trả người bán ngắn hạn(Thuyết minh số 19),,,,
Công ty cổ phần Văn Phú - B&C,Phải trả người bán ngắn hạn(Thuyết minh số 19) > Công ty cổ phần Văn Phú - B&C,Công ty cổ phần Văn Phú - B&C,"Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Phải trả phí dịch vụ,3.997.203.281,-,,,3997203281.0,
TỔNG CỘNG,Phải trả người bán ngắn hạn(Thuyết minh số 19) > TỔNG CỘNG,TỔNG CỘNG,,,3.997.203.281,-,,,3997203281.0,
