row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị vănphòng,Tài sản khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị vănphòng,numeric__Tài sản khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,494.401.123.038,53.461.220.525,28.267.135.591,3.974.037.947,73.156.387.994,653.259.905.095,494401123038.0,53461220525.0,28267135591.0,3974037947.0,73156387994.0,653259905095.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,12.565.315.989,1.973.955.933,2.890.432.728,214.659.090,-,17.644.363.740,12565315989.0,1973955933.0,2890432728.0,214659090.0,,17644363740.0
- Tăng do mua công ty con,Nguyên giá: > - Tăng do mua công ty con,- Tăng do mua công ty con,-,-,-,335.689.404,-,335.689.404,,,,335689404.0,,335689404.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(3.274.105.455),-,-,(3.274.105.455),,,-3274105455.0,,,-3274105455.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,506.966.439.027,55.435.176.458,27.883.462.864,4.524.386.441,73.156.387.994,667.965.852.784,506966439027.0,55435176458.0,27883462864.0,4524386441.0,73156387994.0,667965852784.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,1.633.531.417,8.445.085.453,3.413.187.784,5.087.196.045,18.579.000.699,,1633531417.0,8445085453.0,3413187784.0,5087196045.0,18579000699.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,55.525.626.170,17.340.579.380,21.972.731.222,3.696.740.594,25.157.095.850,123.692.773.216,55525626170.0,17340579380.0,21972731222.0,3696740594.0,25157095850.0,123692773216.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,12.795.751.680,4.366.543.349,2.716.515.996,237.245.669,6.304.304.697,26.420.361.391,12795751680.0,4366543349.0,2716515996.0,237245669.0,6304304697.0,26420361391.0
- Tăng do mua công ty con,Giá trị khấu hao lũy kế: > - Tăng do mua công ty con,- Tăng do mua công ty con,-,-,-,199.379.838,-,199.379.838,,,,199379838.0,,199379838.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(3.274.105.455),-,-,(3.274.105.455),,,-3274105455.0,,,-3274105455.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,68.321.377.850,21.707.122.729,21.415.141.763,4.133.366.101,31.461.400.547,147.038.408.990,68321377850.0,21707122729.0,21415141763.0,4133366101.0,31461400547.0,147038408990.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,438.875.496.868,36.120.641.145,6.294.404.369,277.297.353,47.999.292.144,529.567.131.879,438875496868.0,36120641145.0,6294404369.0,277297353.0,47999292144.0,529567131879.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,438.645.061.177,33.728.053.729,6.468.321.101,391.020.340,41.694.987.447,520.927.443.794,438645061177.0,33728053729.0,6468321101.0,391020340.0,41694987447.0,520927443794.0
