row_label_raw,row_label_full,Các bên liên quan > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Mối quan hệ > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Giao dịch > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Ngàn VND Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Mối quan hệ > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Giao dịch > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Ngàn VND Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8)
Công ty Cổ phần Đầu tưBắt động sản An Phú,Công ty Cổ phần Đầu tưBắt động sản An Phú,Công ty Cổ phần Đầu tưBắt động sản An Phú,Công tyliên quan,Cho vay,2.860.085.936,-,,,2860085936.0,
Công ty Cổ phần Cao suTrung Nguyên (trước đây là“Công ty Cổ phần Trồngrừng Công nghiệp Gia Lai”),Công ty Cổ phần Cao suTrung Nguyên (trước đây là“Công ty Cổ phần Trồngrừng Công nghiệp Gia Lai”),Công ty Cổ phần Cao suTrung Nguyên (trước đây là“Công ty Cổ phần Trồngrừng Công nghiệp Gia Lai”),Công tyliên quan,Cho vay,473.358.579,-,,,473358579.0,
Ông Nguyễn Hoàng Nguyên,Ông Nguyễn Hoàng Nguyên,Ông Nguyễn Hoàng Nguyên,Bênliên quan,Cho vay,92.867.100,92.867.100,,,92867100.0,92867100.0
Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công tyliên quan,Cho vay,67.860.980,332.250.000,,,67860980.0,332250000.0
Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Hội đồngquản trị,Cho vay,30.434.400,-,,,30434400.0,
Công ty Cổ phầnXây dựng Huynh Đệ,Công ty Cổ phầnXây dựng Huynh Đệ,Công ty Cổ phầnXây dựng Huynh Đệ,Công tyliên quan,Cho vay,26.190.000,-,,,26190000.0,
Ông Đỗ Thái Cơ,Ông Đỗ Thái Cơ,Ông Đỗ Thái Cơ,Bênliên quan,Cho vay,16.157.837,-,,,16157837.0,
Công ty Cổ phần Đầu tưSài Gòn Mê Kông,Công ty Cổ phần Đầu tưSài Gòn Mê Kông,Công ty Cổ phần Đầu tưSài Gòn Mê Kông,Công tyliên quan,Cho vay,13.433.052,23.484.089,,,13433052.0,23484089.0
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,Cho vay,663.896,-,,,663896.0,
Công ty Cổ phần Dịch vụquản lý Bắt động sảnHoàng Anh,Công ty Cổ phần Dịch vụquản lý Bắt động sảnHoàng Anh,Công ty Cổ phần Dịch vụquản lý Bắt động sảnHoàng Anh,Công tyliên quan,Cho vay,500.000,500.000,,,500000.0,500000.0
Công ty Cổ phầnPhú Hoàng Anh,Công ty Cổ phầnPhú Hoàng Anh,Công ty Cổ phầnPhú Hoàng Anh,Công tyliên quan,Cho vay,-,32.000.000,,,,32000000.0
Công ty Cổ phần GỗHoàng Anh Gia Lai,Công ty Cổ phần GỗHoàng Anh Gia Lai,Công ty Cổ phần GỗHoàng Anh Gia Lai,Công tyliên quan,Cho vay,-,98.873.046,,,,98873046.0
Công ty TNHH TM&DVTrúc Thịnh,Công ty TNHH TM&DVTrúc Thịnh,Công ty TNHH TM&DVTrúc Thịnh,Công tyliên quan,Cho vay,-,107.600.000,,,,107600000.0
