row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Phụ trội hợp nhất công ty con,Chênh lệch tỷ giá hối doái,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Lợi nhuận chưa phân phối,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Phụ trội hợp nhất công ty con,numeric__Chênh lệch tỷ giá hối doái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Lợi nhuận chưa phân phối,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,,
Số đầu năm (Trình bày lại – Thuyết minh số 41),Năm trước > Số đầu năm (Trình bày lại – Thuyết minh số 41),Số đầu năm (Trình bày lại – Thuyết minh số 41),7.181.546.930,3.544.438.784,-,(170.661.078),89.710.850,8.622.737,230.027.423,1.958.111.130,12.841.796.776,7181546930.0,3544438784.0,,-170661078.0,89710850.0,8622737.0,230027423.0,1958111130.0,12841796776.0
Lợi nhuận thuần trong năm (Trình bày lại – Thuyết minh số 41),Năm trước > Lợi nhuận thuần trong năm (Trình bày lại – Thuyết minh số 41),Lợi nhuận thuần trong năm (Trình bày lại – Thuyết minh số 41),-,-,-,-,-,-,-,1.453.002.809,1.453.002.809,,,,,,,,1453002809.0,1453002809.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,-,(89.040.707),-,-,-,(89.040.707),,,,,-89040707.0,,,,-89040707.0
Thanh lý công ty con,Năm trước > Thanh lý công ty con,Thanh lý công ty con,-,-,-,23.636.169,-,-,-,-,23.636.169,,,,23636169.0,,,,,23636169.0
"Thù lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban thư ký","Năm trước > Thù lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban thư ký","Thù lao cho Hội đồng Quản trị, Ban Kiểm soát và Ban thư ký",-,-,-,-,-,-,-,(11.063.176),(11.063.176),,,,,,,,-11063176.0,-11063176.0
Trích lập quỹ dự phòng tài chính và quỹ phúc lợi,Năm trước > Trích lập quỹ dự phòng tài chính và quỹ phúc lợi,Trích lập quỹ dự phòng tài chính và quỹ phúc lợi,-,-,-,-,-,-,11.106.123,(17.769.797),(6.663.674),,,,,,,11106123.0,-17769797.0,-6663674.0
Chi cổ tức bằng cổ phiếu,Năm trước > Chi cổ tức bằng cổ phiếu,Chi cổ tức bằng cổ phiếu,718.132.540,-,-,-,-,-,-,(718.132.540),-,718132540.0,,,,,,,-718132540.0,
Thu hồi cổ phiếu ESOP làm cổ phiếu quỹ,Năm trước > Thu hồi cổ phiếu ESOP làm cổ phiếu quỹ,Thu hồi cổ phiếu ESOP làm cổ phiếu quỹ,-,-,(586.640),-,-,-,-,-,(686.640),,,-586640.0,,,,,,-686640.0
Thuế GTGT không được khấu trừ của chi phí phát hành cổ phiếu,Năm trước > Thuế GTGT không được khấu trừ của chi phí phát hành cổ phiếu,Thuế GTGT không được khấu trừ của chi phí phát hành cổ phiếu,-,(5.360.000),-,-,-,-,-,-,(5.360.000),,-5360000.0,,,,,,,-5360000.0
Số cuối năm (Trình bày lại – Thuyết minh số 41),Năm trước > Số cuối năm (Trình bày lại – Thuyết minh số 41),Số cuối năm (Trình bày lại – Thuyết minh số 41),7.899.679.470,3.539.078.784,(686.640),(147.024.909),670.143,8.622.737,241.133.546,2.664.148.426,14.205.621.557,7899679470.0,3539078784.0,-686640.0,-147024909.0,670143.0,8622737.0,241133546.0,2664148426.0,14205621557.0
