row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Các khoản lỗ tinhthuế được chuyểnsang các năm saucủa các công ty conLợi nhuận churathực hiện,Tài sản thuế TNDN hoãn lại > Các khoản lỗ tinhthuế được chuyểnsang các năm saucủa các công ty conLợi nhuận churathực hiện,Các khoản lỗ tinhthuế được chuyểnsang các năm saucủa các công ty conLợi nhuận churathực hiện,-,110.825.458,110.825.458,(6.724.690),,110825458.0,110825458.0,-6724690.0
Các khoản lỗ tinhthuế được chuyểnsang các năm saucủa các công ty conLợi nhuận churathực hiện,Tài sản thuế TNDN hoãn lại > Các khoản lỗ tinhthuế được chuyểnsang các năm saucủa các công ty conLợi nhuận churathực hiện,Các khoản lỗ tinhthuế được chuyểnsang các năm saucủa các công ty conLợi nhuận churathực hiện,82.941.387,38.035.752,(44.905.635),(975.754),82941387.0,38035752.0,-44905635.0,-975754.0
Các khoản khác,Tài sản thuế TNDN hoãn lại > Các khoản khác,Các khoản khác,-,-,-,1.678.184,,,,1678184.0
,,,82.941.387,148.861.210,65.919.823,(6.022.260),82941387.0,148861210.0,65919823.0,-6022260.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Chênh lệch giữa giá trị hợp lý và giá trị ghi số của tài sản thuần của công tycon tại thời điểmhợp nhất kinh doanhThu nhập từ việc chuyển nhượng một phần sở hữu trongcác công ty conChênh lệch tỷ giáhối đoán chưathực hiện,Thuế TNDN hoãn lại phải trả > Chênh lệch giữa giá trị hợp lý và giá trị ghi số của tài sản thuần của công tycon tại thời điểmhợp nhất kinh doanhThu nhập từ việc chuyển nhượng một phần sở hữu trongcác công ty conChênh lệch tỷ giáhối đoán chưathực hiện,Chênh lệch giữa giá trị hợp lý và giá trị ghi số của tài sản thuần của công tycon tại thời điểmhợp nhất kinh doanhThu nhập từ việc chuyển nhượng một phần sở hữu trongcác công ty conChênh lệch tỷ giáhối đoán chưathực hiện,202.288.236,-,-,-,202288236.0,,,
Chênh lệch giữa giá trị hợp lý và giá trị ghi số của tài sản thuần của công tycon tại thời điểmhợp nhất kinh doanhThu nhập từ việc chuyển nhượng một phần sở hữu trongcác công ty conChênh lệch tỷ giáhối đoán chưathực hiện,Thuế TNDN hoãn lại phải trả > Chênh lệch giữa giá trị hợp lý và giá trị ghi số của tài sản thuần của công tycon tại thời điểmhợp nhất kinh doanhThu nhập từ việc chuyển nhượng một phần sở hữu trongcác công ty conChênh lệch tỷ giáhối đoán chưathực hiện,Chênh lệch giữa giá trị hợp lý và giá trị ghi số của tài sản thuần của công tycon tại thời điểmhợp nhất kinh doanhThu nhập từ việc chuyển nhượng một phần sở hữu trongcác công ty conChênh lệch tỷ giáhối đoán chưathực hiện,189.506.405,208.457.044,(18.950.639),164.055.450,189506405.0,208457044.0,-18950639.0,164055450.0
Chênh lệch giữa giá trị hợp lý và giá trị ghi số của tài sản thuần của công tycon tại thời điểmhợp nhất kinh doanhThu nhập từ việc chuyển nhượng một phần sở hữu trongcác công ty conChênh lệch tỷ giáhối đoán chưathực hiện,Thuế TNDN hoãn lại phải trả > Chênh lệch giữa giá trị hợp lý và giá trị ghi số của tài sản thuần của công tycon tại thời điểmhợp nhất kinh doanhThu nhập từ việc chuyển nhượng một phần sở hữu trongcác công ty conChênh lệch tỷ giáhối đoán chưathực hiện,Chênh lệch giữa giá trị hợp lý và giá trị ghi số của tài sản thuần của công tycon tại thời điểmhợp nhất kinh doanhThu nhập từ việc chuyển nhượng một phần sở hữu trongcác công ty conChênh lệch tỷ giáhối đoán chưathực hiện,3.333.108,-,3.333.108,-,3333108.0,,3333108.0,
Các khoản khác,Thuế TNDN hoãn lại phải trả > Các khoản khác,Các khoản khác,-,-,-,(8.290.284),,,,-8290284.0
,,,395.127.749,208.457.044,(15.617.531),155.765.166,395127749.0,208457044.0,-15617531.0,155765166.0
Chi phi thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Chi phi thuế TNDN hoãn lại,Chi phi thuế TNDN hoãn lại,Chi phi thuế TNDN hoãn lại,Chi phi thuế TNDN hoãn lại,50.302.292,149.742.906,,,50302292.0,149742906.0
