row_label_raw,row_label_full,col_0,Ngàn VND,numeric__Ngàn VND
,,,Giá trị hợp lýđược xác địnhtam thời ghi nhậntại ngày mua,
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,1.060.840,1060840.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,159.204.731,159204731.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,8.827.132,8827132.0
Chi phí trả trước ngắn hạn,Tài sản > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,2.821.666,2821666.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,1.078.605.518,1078605518.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Vay ngắn hạn,Nợ phải trả > Vay ngắn hạn,Vay ngắn hạn,(58.015.000),-58015000.0
Phải trả ngắn hạn khác,Nợ phải trả > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(479.439.637),-479439637.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(105.091.671),-105091671.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,607.973.579,607973579.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,25.186.915,25186915.0
Lợi thế thương mại từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,165.237.106,165237106.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,(798.397.600),-798397600.0
