row_label_raw,row_label_full,col_0,Bất động sản,Sản xuất,Thương mại và dịch vụ,Xây dựng,Nông nghiệp,Năng lượng,Khoáng sản,Loại trừ,Ngân VND TỔNG CỘNG,numeric__Bất động sản,numeric__Sản xuất,numeric__Thương mại và dịch vụ,numeric__Xây dựng,numeric__Nông nghiệp,numeric__Năng lượng,numeric__Khoáng sản,numeric__Loại trừ,numeric__Ngân VND TỔNG CỘNG
Lợi nhuận trước thuế,Chi phí tài chính > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,806.212.213,,,,,,,,,806212213.0
Thuế TNDN hiện hành,Chi phí tài chính > Thuế TNDN hiện hành,Thuế TNDN hiện hành,,,,,,,,,(153.548.976),,,,,,,,,-153548976.0
Lợi ích thuế thu nhập hoãn lại,Chi phí tài chính > Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,,,,,,,,,(50.302.292),,,,,,,,,-50302292.0
Lợi nhuận sau thuế trong năm,Chi phí tài chính > Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,,,,,,,,,602.360.945,,,,,,,,,602360945.0
Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,,,,,,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,,,,,,,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,8.259.008.883,6.871.718.470,414.281.212,185.383.734,30.242.394.567,4.228.529.998,471.749.500,-,50.673.066.364,8259008883.0,6871718470.0,414281212.0,185383734.0,30242394567.0,4228529998.0,471749500.0,,50673066364.0
Tiền của Tập đoàn,Tài sản và nợ phải trả > Tiền của Tập đoàn,Tiền của Tập đoàn,,,,,,,,,967.966.695,,,,,,,,,967966695.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,,,,252.299.640,,,,,,,,,252299640.0
Tài sản không phân bổ,Tài sản và nợ phải trả > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,(2.664.944.021),,,,,,,,,-2664944021.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,,,,,49.228.388.678,,,,,,,,,49228388678.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(5.749.925.677),(6.971.300.300),(342.851.722),(487.006.160),(23.589.760.026),(2.449.760.889),(136.660.009),-,(39.727.264.783),-5749925677.0,-6971300300.0,-342851722.0,-487006160.0,-23589760026.0,-2449760889.0,-136660009.0,,-39727264783.0
Nợ phải trả không phân bổ,Tài sản và nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,6.764.596.387,,,,,,,,,6764596387.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,(32.962.668.396),,,,,,,,,-32962668396.0
