row_label_raw,row_label_full,TỔNG CỘNG (*),TỔNG CỘNG (*)_1,TỔNG CỘNG (*)_2,3.581.551.780,687.074.735,numeric__TỔNG CỘNG (*)_1,numeric__TỔNG CỘNG (*)_2,numeric__3.581.551.780,numeric__687.074.735
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty Cổ phần Đầu tưBắt động sản An Phú,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Đầu tưBắt động sản An Phú,Công ty Cổ phần Đầu tưBắt động sản An Phú,Công tyliên quan,Lãi cho vay,596.353.404,286.018.154,,,596353404.0,286018154.0
Ông Phan Thanh Thủ,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Hội đồngquản trị,Tạm ứng hoạtđộng kinh doanh,138.499.307,-,,,138499307.0,
Công ty Cổ phầnPhú Hoàng Anh,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phầnPhú Hoàng Anh,Công ty Cổ phầnPhú Hoàng Anh,Công tyliên quan,Lãi cho vayChi phí trả hộ,113.229.3752.440.389,84.485.625,,,1132293752440389.0,84485625.0
Công ty Cổ phầnChăn nuôi Gia Lai,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công tyliên quan,Lãi cho vayChi phí trả hộ,56.547.49285.229,-,,,5654749285229.0,
Công ty Cổ phần Cao suTrung Nguyên (trước đây là“Công ty Cổ phần Trồngrừng Công nghiệp Gia Lai”),Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Cao suTrung Nguyên (trước đây là“Công ty Cổ phần Trồngrừng Công nghiệp Gia Lai”),Công ty Cổ phần Cao suTrung Nguyên (trước đây là“Công ty Cổ phần Trồngrừng Công nghiệp Gia Lai”),Công tyliên quan,Lãi cho vayChi phí trả hộ,40.411.220914.514,-,,,40411220914514.0,
