row_label_raw,row_label_full,col_0,Ngàn VNDGiá trị,numeric__Ngàn VNDGiá trị
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,247.464.889,247464889.0
Tăng từ mua công ty con,Nguyên giá > Tăng từ mua công ty con,Tăng từ mua công ty con,477.110.925,477110925.0
Xóa số trong năm,Nguyên giá > Xóa số trong năm,Xóa số trong năm,(245.328.259),-245328259.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,479.247.555,479247555.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số đầu năm,Giá trị phân bổ lũy kế > Số đầu năm,Số đầu năm,73.812.136,73812136.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,29.056.524,29056524.0
Xóa số trong năm,Giá trị phân bổ lũy kế > Xóa số trong năm,Xóa số trong năm,(98.131.300),-98131300.0
Số cuối năm,Giá trị phân bổ lũy kế > Số cuối năm,Số cuối năm,4.737.360,4737360.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,173.652.753,173652753.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,474.510.195,474510195.0
