row_label_raw,row_label_full,Các bên liên quan,Môi quan hệ,Giao dịch,Năm nay,Ngân VNDNăm trước,numeric__Môi quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngân VNDNăm trước
Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công tyliên quan,Cho vayDoanh thu bán hàngvà cung cấp dịch vụMua hàng hóa vàdịch vụThu hồi tiền cho vayMua tài sảnLãi cho vay,1.719.085.3981.111.024.0401.148.449.076512.697.837305.043.871154.943.197,832.250.000313.885.515-33.990.1536.990.563,,,1.7190853981111024e+56,
Công ty Cổ phần Đầu tư Bắt động sảnAn Phú,Công ty Cổ phần Đầu tư Bắt động sảnAn Phú,Công ty Cổ phần Đầu tư Bắt động sảnAn Phú,Công tyliên quan,Cho vayThu hồi tiền cho vayLãi cho vay,965.478.783739.740.000374.596.730,1.323.553.000772.637.944478.617.876,,,9.6547878373974e+26,1.3235530007726378e+27
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,Cho vayLãi cho vay,697.320.00014.548.178,-,,,6.973200001454818e+16,
Ông Huỳnh Hữu Vũ,Ông Huỳnh Hữu Vũ,Ông Huỳnh Hữu Vũ,Bên liênquan,Cho vay,294.936.000,-,,,294936000.0,
Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Hội đồngquản trị,Tạm ứng hoạt độngkinh doanhCho vay,138.499.30730.434.400,-,,,1.38499307304344e+16,
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công tyliên quan,"Thuê máy mócvà thiết bịMua công cụ, dụng cụCho vayLãi cho vay",44.588.00037.919.75814.651.980622.820,53.290.71035.208.439-,,,4.458800037919758e+29,
Công ty TNHH MTVNguyên Vật LiệuHoàng Thơ,Công ty TNHH MTVNguyên Vật LiệuHoàng Thơ,Công ty TNHH MTVNguyên Vật LiệuHoàng Thơ,Công tyliên quan,Cho vayLãi cho vay,72.533.6901.585.248,-,,,725336901585248.0,
Công ty TNHH TMDVMinh Tuấn,Công ty TNHH TMDVMinh Tuấn,Công ty TNHH TMDVMinh Tuấn,Công tyliên quan,Cho vayLãi cho vay,54.140.3862.492.768,-,,,541403862492768.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công tyliên quan,Cho vay,42.869.945,70.117.796,,,42869945.0,70117796.0
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công tyliên quan,Lãi cho vay,28.743.750,28.743.750,,,28743750.0,28743750.0
Công ty Cổ phần Đầu tư và Tư vấnXây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấnXây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấnXây dựng Á Đông,Công tyliên kết,Cung cấp dịch vụ tưvấn xây dựngCung cấpdịch vụChia cổ tức,13.609.883831.911600.000,22.803.419654.560-,,,1.36098838319116e+19,
Công ty Cổ phần Cao su Trung Nguyên(trước đây là “Công tyCổ phần Trồng rừngCông nghiệp Gia Lai”),Công ty Cổ phần Cao su Trung Nguyên(trước đây là “Công tyCổ phần Trồng rừngCông nghiệp Gia Lai”),Công ty Cổ phần Cao su Trung Nguyên(trước đây là “Công tyCổ phần Trồng rừngCông nghiệp Gia Lai”),Công tyliên quan,Lãi cho vay,7.665.243,-,,,7665243.0,
Công ty TNHH TM&DVTrúc Thịnh,Công ty TNHH TM&DVTrúc Thịnh,Công ty TNHH TM&DVTrúc Thịnh,Công tyliên quan,Lãi cho vay,-,10.607.567,,,,10607567.0
